lemma_slp1	varga	eid	match_type	union_dicts	n_dicts
SAda	AK-3.3	4182	exact	BUR CAE CCS GRA MD MW PWG PWK VCP VEI	10
jambAla	AK-3.3	4182	exact	BUR CAE CCS MD MW PWG PWK VCP	8
SAda	AK-3.3	4183	exact	BUR CAE CCS GRA MD MW PWG PWK VCP VEI	10
Sazpa	AK-3.3	4183	exact	BUR CAE CCS MD MW PWG PWK VCP VEI	9
Akranda	AK-3.3	4184	exact	BUR CAE CCS MD MW PWG PWK VCP	8
ArAva	AK-3.3	4184	exact	BHS BUR CAE MD MW PWG PWK SCH VCP	9
Akranda	AK-3.3	4185	exact	BUR CAE CCS MD MW PWG PWK VCP	8
rudita	AK-3.3	4185	exact	BUR CAE CCS MD MW PWK VCP	7
Akranda	AK-3.3	4186	exact	BUR CAE CCS MD MW PWG PWK VCP	8
dAruRaraRa	AK-3.3	4186	miss		0
prasAda	AK-3.3	4187	exact	BHS BUR CAE CCS INM MD MW PWG PWK VCP	10
anurAga	AK-3.3	4187	exact	AP CAE CCS MW PWG PWK SCH VCP	8
sUda	AK-3.3	4188	exact	BUR CAE CCS GRA MD MW PWG PWK SCH VCP VEI	11
vyaYjana	AK-3.3	4188	exact	BHS BUR CAE GRA MD MW PWG PWK SCH VCP	10
govinda	AK-3.3	4189	exact	BHS BUR CAE CCS INM MW PWG PWK VCP	9
gozWADyakza	AK-3.3	4189	exact	MW PWG PWK VCP	4
Amoda	AK-3.3	4190	exact	AP BUR CAE CCS MD MW PWG PWK SCH VCP	10
harza	AK-3.3	4190	exact	BHS BUR CAE CCS INM MD MW PWG PWK SCH VCP	11
mada	AK-3.3	4191	exact	BUR CAE CCS GRA INM MD MW PWG PWK SKD VCP	11
harza	AK-3.3	4191	exact	BHS BUR CAE CCS INM MD MW PWG PWK SCH VCP	11
kakuda	AK-3.3	4192	exact	CAE CCS MD MW PWG PWK VCP	7
prADAnya	AK-3.3	4192	exact	CAE CCS MW PWG PWK VCP	6
kakuda	AK-3.3	4193	exact	CAE CCS MD MW PWG PWK VCP	7
rAjaliNga	AK-3.3	4193	exact	MW PWG PWK	3
kakuda	AK-3.3	4194	exact	CAE CCS MD MW PWG PWK VCP	7
vfzANga	AK-3.3	4194	miss		0
saMvid	AK-3.3	4195	exact	AP CAE CCS GRA MW PWG PWK VCP	8
jYAna	AK-3.3	4195	exact	BHS BUR CAE CCS MD MW PWG PWK SCH VCP	10
saMvid	AK-3.3	4196	exact	AP CAE CCS GRA MW PWG PWK VCP	8
samBAzA	AK-3.3	4196	exact	MW SKD	2
saMvid	AK-3.3	4197	exact	AP CAE CCS GRA MW PWG PWK VCP	8
kriyAkAra	AK-3.3	4197	exact	BHS MW PWG PWK VCP	5
saMvid	AK-3.3	4198	exact	AP CAE CCS GRA MW PWG PWK VCP	8
Aji	AK-3.3	4198	exact	AP BUR CAE CCS GRA MD MW PWG PWK VCP VEI	11
saMvid	AK-3.3	4199	exact	AP CAE CCS GRA MW PWG PWK VCP	8
nAman	AK-3.3	4199	exact	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH VCP VEI	13
upanizad	AK-3.3	4200	exact	AP BHS BUR CAE CCS INM MD MW PWG PWK SCH VCP VEI	13
Darma	AK-3.3	4200	exact	BHS BUR CAE CCS INM MD MW PWG PWK SCH VEI	11
upanizad	AK-3.3	4201	exact	AP BHS BUR CAE CCS INM MD MW PWG PWK SCH VCP VEI	13
rahas	AK-3.3	4201	exact	AP CAE CCS GRA MD MW PWG PWK SCH	9
Sarad	AK-3.3	4202	exact	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP VEI	12
ftuBeda	AK-3.3	4202	miss		0
Sarad	AK-3.3	4203	exact	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP VEI	12
vatsara	AK-3.3	4203	exact	BHS BUR CAE CCS GRA INM MD MW PWG PWK VCP	11
pada	AK-3.3	4204	exact	BHS CAE CCS GRA INM MD MW PWG PWK SCH SKD VCP VEI	13
vyavasiti	AK-3.3	4204	exact	MW PWG PWK	3
pada	AK-3.3	4205	exact	BHS CAE CCS GRA INM MD MW PWG PWK SCH SKD VCP VEI	13
trARa	AK-3.3	4205	exact	AP BUR CAE CCS MD MW PWG PWK VCP	9
pada	AK-3.3	4206	exact	BHS CAE CCS GRA INM MD MW PWG PWK SCH SKD VCP VEI	13
sTAna	AK-3.3	4206	exact	BHS BUR CAE CCS GRA MD MW PWG PWK VCP	10
pada	AK-3.3	4207	exact	BHS CAE CCS GRA INM MD MW PWG PWK SCH SKD VCP VEI	13
lakzman	AK-3.3	4207	exact	AP BUR CAE CCS GRA MD MW PWG PWK VCP VEI	11
pada	AK-3.3	4208	exact	BHS CAE CCS GRA INM MD MW PWG PWK SCH SKD VCP VEI	13
aNGri	AK-3.3	4208	exact	AP BUR CAE CCS MD MW PWG PWK SCH VCP	10
pada	AK-3.3	4209	exact	BHS CAE CCS GRA INM MD MW PWG PWK SCH SKD VCP VEI	13
vastu	AK-3.3	4209	exact	AP BHS BUR CAE CCS GRA MD MW PWG PWK SKD VCP VEI	13
gozpada	AK-3.3	4210	exact	BUR CAE CCS MD MW PWG PWK VCP	8
sevita	AK-3.3	4210	exact	AP MD MW PWG PWK VCP	6
gozpada	AK-3.3	4211	exact	BUR CAE CCS MD MW PWG PWK VCP	8
mAna	AK-3.3	4211	exact	BUR CAE CCS GRA MD MW PWG PWK SKD VCP VEI	11
Aspada	AK-3.3	4212	exact	BUR CAE CCS MD MW PWG PWK VCP	8
pratizWA	AK-3.3	4212	exact	AP BUR GRA INM MW PWG SKD VCP VEI	9
Aspada	AK-3.3	4213	exact	BUR CAE CCS MD MW PWG PWK VCP	8
kftya	AK-3.3	4213	exact	AP BHS BUR CAE CCS INM MD MW PWG PWK SCH VCP	12
svAdu	AK-3.3	4214	exact	AP BUR CAE CCS GRA MD MW PWG PWK VCP	10
izwa	AK-3.3	4214	exact	AP BUR CAE CCS GRA INM MD MW PWG PWK VCP	11
svAdu	AK-3.3	4215	exact	AP BUR CAE CCS GRA MD MW PWG PWK VCP	10
maDura	AK-3.3	4215	exact	AP BHS CAE CCS INM MD MW PWG PWK SCH VCP	11
mfdu	AK-3.3	4216	exact	AP BUR CAE CCS INM MD MW PWG PWK VCP	10
atIkzRa	AK-3.3	4216	exact	MD MW PWG PWK VCP	5
mfdu	AK-3.3	4217	exact	AP BUR CAE CCS INM MD MW PWG PWK VCP	10
komala	AK-3.3	4217	exact	AP BUR CAE CCS MD MW PWG PWK SCH VCP	10
manda	AK-3.3	4218	exact	AP BUR CAE CCS GRA MD MW PWG PWK SCH VCP	11
mUQa	AK-3.3	4218	exact	AP BUR CAE CCS MD MW PWG PWK SCH VCP	10
manda	AK-3.3	4219	exact	AP BUR CAE CCS GRA MD MW PWG PWK SCH VCP	11
alpa	AK-3.3	4219	exact	AP BUR CAE CCS MD MW PWG PWK VCP	9
manda	AK-3.3	4220	exact	AP BUR CAE CCS GRA MD MW PWG PWK SCH VCP	11
apawu	AK-3.3	4220	exact	AP BUR CAE CCS MD MW PWG PWK VCP	9
manda	AK-3.3	4221	exact	AP BUR CAE CCS GRA MD MW PWG PWK SCH VCP	11
nirBAgya	AK-3.3	4221	exact	AP MW PWG PWK SCH VCP	6
SArada	AK-3.3	4222	exact	AP BUR CAE CCS GRA MD MW PWG PWK SCH VCP VEI	12
pratyagra	AK-3.3	4222	exact	AP BUR CAE CCS MD MW PWG PWK VCP	9
SArada	AK-3.3	4223	exact	AP BUR CAE CCS GRA MD MW PWG PWK SCH VCP VEI	12
apratiBa	AK-3.3	4223	exact	AP MW PWG PWK VCP	5
viSArada	AK-3.3	4224	exact	AP BHS BUR CAE CCS INM MW PWG PWK VCP	10
vidvas	AK-3.3	4224	exact	AP BUR CCS GRA MW VCP	6
viSArada	AK-3.3	4225	exact	AP BHS BUR CAE CCS INM MW PWG PWK VCP	10
supragalBa	AK-3.3	4225	miss		0
nyagroDa	AK-3.3	4226	exact	BHS BUR CAE CCS INM MD MW PWG PWK SCH VCP VEI	12
vyAma	AK-3.3	4226	exact	BUR CAE CCS MD MW PWG PWK VCP VEI	9
nyagroDa	AK-3.3	4227	exact	BHS BUR CAE CCS INM MD MW PWG PWK SCH VCP VEI	12
vawa	AK-3.3	4227	exact	BHS BUR CAE CCS INM MD MW PWG PWK SCH SKD VCP	12
utseDa	AK-3.3	4228	exact	AP BUR CAE CCS MD MW PWG PWK VCP	9
kAya	AK-3.3	4228	exact	BHS BUR CAE CCS MD MW PWG PWK SCH VCP	10
utseDa	AK-3.3	4229	exact	AP BUR CAE CCS MD MW PWG PWK VCP	9
unnati	AK-3.3	4229	exact	BHS BUR CAE CCS MD MW PWG PWK SCH VCP	10
vivaDa	AK-3.3	4230	exact	BUR CAE CCS MW PWG PWK VEI	7
paryAhAra	AK-3.3	4230	exact	MW PWG PWK	3
vivaDa	AK-3.3	4231	exact	BUR CAE CCS MW PWG PWK VEI	7
mArga	AK-3.3	4231	exact	AP BHS BUR CAE CCS INM MD MW PWG PWK SCH SKD VCP	13
vIvaDa	AK-3.3	4232	exact	BUR CAE MW PWG PWK	5
paryAhAra	AK-3.3	4232	exact	MW PWG PWK	3
vIvaDa	AK-3.3	4233	exact	BUR CAE MW PWG PWK	5
mArga	AK-3.3	4233	exact	AP BHS BUR CAE CCS INM MD MW PWG PWK SCH SKD VCP	13
pariDi	AK-3.3	4234	exact	BUR CAE CCS GRA MW PWG PWK VCP	8
yajYiyataruSAKA	AK-3.3	4234	miss		0
pariDi	AK-3.3	4235	exact	BUR CAE CCS GRA MW PWG PWK VCP	8
upasUryaka	AK-3.3	4235	exact	BUR MW PWG PWK VCP	5
ADi	AK-3.3	4236	exact	BUR CAE CCS GRA MD MW PWG PWK SCH VCP	10
banDaka	AK-3.3	4236	exact	BHS CAE CCS MW PWG PWK VCP	7
ADi	AK-3.3	4237	exact	BUR CAE CCS GRA MD MW PWG PWK SCH VCP	10
vyasana	AK-3.3	4237	exact	BUR CAE CCS MD MW PWG PWK SCH VCP	9
ADi	AK-3.3	4238	exact	BUR CAE CCS GRA MD MW PWG PWK SCH VCP	10
cetaHpIqA	AK-3.3	4238	exact	MW PWK	2
ADi	AK-3.3	4239	exact	BUR CAE CCS GRA MD MW PWG PWK SCH VCP	10
aDizWAna	AK-3.3	4239	exact	BHS BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP	12
samADi	AK-3.3	4240	exact	BHS BUR CAE CCS MW PWG PWK SCH VCP	9
samarTana	AK-3.3	4240	exact	CAE CCS MD MW PWG PWK VCP	7
samADi	AK-3.3	4241	exact	BHS BUR CAE CCS MW PWG PWK SCH VCP	9
nIvAka	AK-3.3	4241	exact	BUR MW PWG PWK VCP	5
samADi	AK-3.3	4242	exact	BHS BUR CAE CCS MW PWG PWK SCH VCP	9
niyama	AK-3.3	4242	exact	CAE CCS INM MD MW PWG PWK VCP	8
anubanDa	AK-3.3	4243	exact	CAE CCS MD MW PWG PWK SCH VCP	8
dozotpAda	AK-3.3	4243	miss		0
anubanDa	AK-3.3	4244	exact	CAE CCS MD MW PWG PWK SCH VCP	8
prakftyAdivinaSvara	AK-3.3	4244	miss		0
anubanDa	AK-3.3	4245	exact	CAE CCS MD MW PWG PWK SCH VCP	8
muKyAnuyAyin	AK-3.3	4245	miss		0
anubanDa	AK-3.3	4246	exact	CAE CCS MD MW PWG PWK SCH VCP	8
SiSu	AK-3.3	4246	exact	BUR CAE CCS GRA INM MD MW PWG PWK VCP	10
anubanDa	AK-3.3	4247	exact	CAE CCS MD MW PWG PWK SCH VCP	8
prakftAnuvartana	AK-3.3	4247	miss		0
viDu	AK-3.3	4248	exact	BUR CAE CCS GRA MD MW PWG PWK VCP VEI	10
vizRu	AK-3.3	4248	exact	BHS BUR CAE CCS GRA INM MD MW PWG PWK SKD VCP	12
viDi	AK-3.3	4249	exact	BHS BUR CAE CCS INM MD MW PWG PWK SCH VCP	11
candramas	AK-3.3	4249	exact	AP CAE CCS GRA INM MW PWG PWK VCP	9
avaDi	AK-3.3	4250	exact	BUR CAE CCS MW PWG PWK SCH VCP	8
paricCeda	AK-3.3	4250	exact	CAE CCS MW PWG PWK VCP	6
avaDi	AK-3.3	4251	exact	BUR CAE CCS MW PWG PWK SCH VCP	8
bila	AK-3.3	4251	exact	CAE CCS GRA MD MW PWG PWK SCH SKD VCP	10
viDi	AK-3.3	4252	exact	BHS BUR CAE CCS INM MD MW PWG PWK SCH VCP	11
viDAna	AK-3.3	4252	exact	BHS BUR CAE CCS GRA INM MW PWG PWK SCH VCP	11
viDi	AK-3.3	4253	exact	BHS BUR CAE CCS INM MD MW PWG PWK SCH VCP	11
dEva	AK-3.3	4253	exact	AP BUR CAE CCS MD MW PWG PWK VCP VEI	10
praRiDi	AK-3.3	4254	exact	BHS BUR CAE CCS MW PWG PWK SCH VCP	9
prArTana	AK-3.3	4254	exact	BUR CAE CCS MD MW PWG PWK	7
praRiDi	AK-3.3	4255	exact	BHS BUR CAE CCS MW PWG PWK SCH VCP	9
cara	AK-3.3	4255	exact	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	12
buDa	AK-3.3	4256	exact	AP BUR CAE CCS INM MD MW PWG PWK SKD VCP	11
paRqita	AK-3.3	4256	exact	AP CAE CCS INM MD MW PWG PWK SCH VCP VEI	11
vfdDa	AK-3.3	4257	exact	AP BHS BUR CAE CCS INM MD MW PWG PWK VCP	11
paRqita	AK-3.3	4257	exact	AP CAE CCS INM MD MW PWG PWK SCH VCP VEI	11
skanDa	AK-3.3	4258	exact	BHS BUR CAE CCS INM MD MW PWG PWK SCH VCP	11
samudaya	AK-3.3	4258	exact	BHS BUR CAE CCS MW PWG PWK VCP	8
sinDu	AK-3.3	4259	exact	BHS BUR CAE CCS GRA INM MD MW PWG PWK SKD VCP VEI	13
nadaviSeza	AK-3.3	4259	miss		0
sinDu	AK-3.3	4260	exact	BHS BUR CAE CCS GRA INM MD MW PWG PWK SKD VCP VEI	13
abDi	AK-3.3	4260	exact	BUR CAE CCS MD MW PWG PWK VCP	8
sinDu	AK-3.3	4261	exact	BHS BUR CAE CCS GRA INM MD MW PWG PWK SKD VCP VEI	13
sarit	AK-3.3	4261	exact	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP VEI	12
viDA	AK-3.3	4262	exact	AP CAE CCS MD MW PWG PWK SKD	8
viDi	AK-3.3	4262	exact	BHS BUR CAE CCS INM MD MW PWG PWK SCH VCP	11
viDA	AK-3.3	4263	exact	AP CAE CCS MD MW PWG PWK SKD	8
prakAra	AK-3.3	4263	exact	BHS BUR CAE CCS MW PWG PWK SCH VCP	9
sADu	AK-3.3	4264	exact	AP BHS BUR CAE CCS GRA MD MW PWG PWK VCP	11
ramya	AK-3.3	4264	exact	AP BUR CAE CCS MD MW PWG PWK SKD VCP	10
vaDU	AK-3.3	4265	exact	CAE GRA MD MW PWG PWK VCP VEI	8
jAyA	AK-3.3	4265	exact	AP BHS BUR CAE CCS GRA MD MW PWG PWK SKD VCP VEI	13
vaDU	AK-3.3	4266	exact	CAE GRA MD MW PWG PWK VCP VEI	8
snuzA	AK-3.3	4266	exact	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP VEI	12
vaDU	AK-3.3	4267	exact	CAE GRA MD MW PWG PWK VCP VEI	8
strI	AK-3.3	4267	exact	AP BHS BUR CAE CCS GRA INM MD MW PWG PWK SKD VCP VEI	14
suDA	AK-3.3	4268	exact	AP BUR CAE CCS INM MD MW PWG PWK SCH SKD VCP	12
lepa	AK-3.3	4268	exact	BHS BUR CAE CCS MD MW PWG PWK SKD VCP	10
suDA	AK-3.3	4269	exact	AP BUR CAE CCS INM MD MW PWG PWK SCH SKD VCP	12
amfta	AK-3.3	4269	exact	AP BHS BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP	13
suDA	AK-3.3	4270	exact	AP BUR CAE CCS INM MD MW PWG PWK SCH SKD VCP	12
snuhI	AK-3.3	4270	exact	AP CAE CCS MW PWG PWK SKD VCP	8
sanDA	AK-3.3	4271	exact	BUR SKD VCP	3
pratijYA	AK-3.3	4271	exact	AP BHS BUR CAE MD MW PWG SKD VCP	9
sanDA	AK-3.3	4272	exact	BUR SKD VCP	3
maryAdA	AK-3.3	4272	exact	AP CAE CCS GRA INM MD MW PWG VEI	9
SradDA	AK-3.3	4273	exact	AP BHS CAE CCS GRA INM MD MW PWG PWK SKD VCP	12
sampratyaya	AK-3.3	4273	exact	MW	1
SradDA	AK-3.3	4274	exact	AP BHS CAE CCS GRA INM MD MW PWG PWK SKD VCP	12
spfhA	AK-3.3	4274	exact	AP BUR CAE CCS MD MW PWG PWK SKD VCP	10
maDu	AK-3.3	4275	exact	AP BUR CAE CCS GRA INM MD MW PWG PWK SCH SKD VCP VEI	14
madya	AK-3.3	4275	exact	AP BUR CAE CCS GRA MD MW PWG PWK VCP VEI	11
maDu	AK-3.3	4276	exact	AP BUR CAE CCS GRA INM MD MW PWG PWK SCH SKD VCP VEI	14
puzparasa	AK-3.3	4276	exact	MW PWG PWK SCH VCP	5
maDu	AK-3.3	4277	exact	AP BUR CAE CCS GRA INM MD MW PWG PWK SCH SKD VCP VEI	14
kzOdra	AK-3.3	4277	exact	BHS BUR CAE INM MD MW PWG PWK VCP	9
anDa	AK-3.3	4278	exact	AP BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP	12
tamas	AK-3.3	4278	exact	AP BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP	12
samunnadDa	AK-3.3	4279	exact	AP BUR MW PWG PWK VCP	6
paRqitammanya	AK-3.3	4279	exact	MW	1
samunnadDa	AK-3.3	4280	exact	AP BUR MW PWG PWK VCP	6
garvita	AK-3.3	4280	exact	AP CAE CCS MW PWG PWK SCH VCP	8
brahmabanDu	AK-3.3	4281	exact	MW PWG PWK VCP VEI	5
aDikzepa	AK-3.3	4281	exact	MD MW PWG PWK VCP	5
brahmabanDu	AK-3.3	4282	exact	MW PWG PWK VCP VEI	5
nirdeSa	AK-3.3	4282	exact	BHS CAE CCS MD MW PWG PWK VCP	8
avazwabDa	AK-3.3	4283	exact	AP CAE MW VCP	4
avalambita	AK-3.3	4283	exact	AP CAE MW SCH VCP	5
avazwabDa	AK-3.3	4284	exact	AP CAE MW VCP	4
avidUra	AK-3.3	4284	exact	AP BUR CAE MW PWG PWK VCP	7
prasidDa	AK-3.3	4285	exact	AP BUR CAE CCS MW PWG PWK VCP	8
KyAta	AK-3.3	4285	exact	AP BUR CAE MW VCP	5
prasidDa	AK-3.3	4286	exact	AP BUR CAE CCS MW PWG PWK VCP	8
BUzita	AK-3.3	4286	exact	AP VCP	2
citraBAnu	AK-3.3	4287	exact	AP BHS CAE CCS GRA INM MW PWG PWK VCP	10
sUrya	AK-3.3	4287	exact	BHS BUR CAE CCS GRA INM MD MW PWG PWK VEI	11
citraBAnu	AK-3.3	4288	exact	AP BHS CAE CCS GRA INM MW PWG PWK VCP	10
vahni	AK-3.3	4288	exact	BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP VEI	12
BAnu	AK-3.3	4289	exact	BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP	11
raSmi	AK-3.3	4289	exact	BHS BUR CAE CCS GRA MD MW PWG PWK VCP VEI	11
BAnu	AK-3.3	4290	exact	BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP	11
divAkara	AK-3.3	4290	exact	BUR CAE CCS INM MD MW PWG PWK VCP	9
BUtAtman	AK-3.3	4291	exact	AP CAE INM MW PWG PWK VCP	7
DAtf	AK-3.3	4291	exact	AP BHS BUR CAE GRA INM MD MW VCP	9
BUtAtman	AK-3.3	4292	exact	AP CAE INM MW PWG PWK VCP	7
deha	AK-3.3	4292	exact	BUR CAE CCS INM MD MW PWG PWK VCP	9
pfTagjana	AK-3.3	4293	exact	CAE CCS MW PWG PWK VCP	6
mUrKa	AK-3.3	4293	exact	AP BUR CAE CCS MD MW PWG PWK VCP	9
pfTagjana	AK-3.3	4294	exact	CAE CCS MW PWG PWK VCP	6
nIca	AK-3.3	4294	exact	AP BUR CAE CCS GRA MD MW PWG PWK VCP	10
grAvan	AK-3.3	4295	exact	AP BUR CAE CCS GRA MD MW PWG PWK VCP	10
SEla	AK-3.3	4295	exact	AP BHS BUR CAE CCS INM MD MW PWG PWK SCH VCP	12
grAvan	AK-3.3	4296	exact	AP BUR CAE CCS GRA MD MW PWG PWK VCP	10
pAzARa	AK-3.3	4296	exact	BUR CAE CCS MD MW PWG PWK SCH VCP	9
patrin	AK-3.3	4297	exact	AP	1
Sara	AK-3.3	4297	exact	BHS BUR CAE CCS GRA INM MD MW PWG PWK VCP VEI	12
patrin	AK-3.3	4298	exact	AP	1
pakzin	AK-3.3	4298	exact	AP BHS BUR CAE CCS GRA INM MD MW PWG PWK VCP VEI	13
SiKarin	AK-3.3	4299	exact	AP CAE CCS MD MW PWG PWK SCH VCP	9
taru	AK-3.3	4299	exact	AP BHS BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP VEI	14
SiKarin	AK-3.3	4300	exact	AP CAE CCS MD MW PWG PWK SCH VCP	9
SEla	AK-3.3	4300	exact	AP BHS BUR CAE CCS INM MD MW PWG PWK SCH VCP	12
SiKin	AK-3.3	4301	exact	AP BHS BUR CAE CCS INM MD MW PWG PWK VCP	11
vahni	AK-3.3	4301	exact	BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP VEI	12
SiKin	AK-3.3	4302	exact	AP BHS BUR CAE CCS INM MD MW PWG PWK VCP	11
barhin	AK-3.3	4302	exact	AP CAE INM MD MW PWG PWK SCH VCP	9
pratiyatna	AK-3.3	4303	exact	AP BUR CAE CCS MD MW PWG PWK SCH VCP	10
lipsA	AK-3.3	4303	exact	AP CAE CCS MD MW PWG PWK SKD VCP	9
pratiyatna	AK-3.3	4304	exact	AP BUR CAE CCS MD MW PWG PWK SCH VCP	10
upagraha	AK-3.3	4304	exact	CAE MD MW PWG PWK SCH VCP	7
sAdin	AK-3.3	4305	exact	AP BUR CAE MD MW PWG PWK VCP VEI	9
sAraTi	AK-3.3	4305	exact	BHS BUR CAE CCS GRA INM MD MW PWG PWK VCP VEI	12
sAdin	AK-3.3	4306	exact	AP BUR CAE MD MW PWG PWK VCP VEI	9
hayAroha	AK-3.3	4306	exact	CAE CCS MW PWG PWK SCH	6
vAjin	AK-3.3	4307	exact	AP BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP VEI	13
aSva	AK-3.3	4307	exact	BHS BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP VEI	13
vAjin	AK-3.3	4308	exact	AP BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP VEI	13
izu	AK-3.3	4308	exact	BHS BUR CAE CCS GRA MD MW PWG PWK VCP VEI	11
vAjin	AK-3.3	4309	exact	AP BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP VEI	13
pakzin	AK-3.3	4309	exact	AP BHS BUR CAE CCS GRA INM MD MW PWG PWK VCP VEI	13
aBijana	AK-3.3	4310	exact	BUR CAE CCS MD MW PWG PWK SCH VCP	9
kula	AK-3.3	4310	exact	BUR CAE CCS GRA MD MW PWG PWK SKD VCP VEI	11
aBijana	AK-3.3	4311	exact	BUR CAE CCS MD MW PWG PWK SCH VCP	9
janmaBUmi	AK-3.3	4311	exact	CAE MW PWG PWK VCP	5
hAyana	AK-3.3	4312	exact	BUR CAE CCS MD MW PWG PWK VCP VEI	9
varza	AK-3.3	4312	exact	BUR CAE CCS GRA MD MW PWG PWK VCP VEI	10
hAyana	AK-3.3	4313	exact	BUR CAE CCS MD MW PWG PWK VCP VEI	9
arcis	AK-3.3	4313	exact	AP CAE CCS GRA MD MW PWG PWK VCP	9
hAyana	AK-3.3	4314	exact	BUR CAE CCS MD MW PWG PWK VCP VEI	9
vrIhiBeda	AK-3.3	4314	exact	MW PWG PWK VCP	4
virocana	AK-3.3	4315	exact	BHS CAE CCS INM MW PWG PWK SCH VCP	9
candra	AK-3.3	4315	exact	AP BHS BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP VEI	14
virocana	AK-3.3	4316	exact	BHS CAE CCS INM MW PWG PWK SCH VCP	9
agni	AK-3.3	4316	exact	BHS BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP	12
virocana	AK-3.3	4317	exact	BHS CAE CCS INM MW PWG PWK SCH VCP	9
arka	AK-3.3	4317	exact	AP BHS BUR CAE CCS GRA INM MD MW PWG PWK SCH SKD VCP VEI	15
vfjina	AK-3.3	4318	exact	AP BUR CAE CCS GRA MD MW PWG PWK SCH VCP	11
keSa	AK-3.3	4318	exact	BUR CAE CCS GRA MD MW PWG PWK SCH VCP VEI	11
viSvakarman	AK-3.3	4319	exact	AP CAE CCS GRA INM MW PWG PWK	8
arka	AK-3.3	4319	exact	AP BHS BUR CAE CCS GRA INM MD MW PWG PWK SCH SKD VCP VEI	15
viSvakarman	AK-3.3	4320	exact	AP CAE CCS GRA INM MW PWG PWK	8
suraSilpin	AK-3.3	4320	exact	MW PWK	2
Atman	AK-3.3	4321	exact	AP BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP	12
yatna	AK-3.3	4321	exact	AP BUR CAE CCS MD MW PWG PWK VCP	9
Atman	AK-3.3	4322	exact	AP BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP	12
Dfti	AK-3.3	4322	exact	BUR CAE CCS GRA INM MD MW PWG PWK VCP	10
Atman	AK-3.3	4323	exact	AP BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP	12
budDi	AK-3.3	4323	exact	BUR CAE CCS INM MD MW PWG PWK VCP	9
Atman	AK-3.3	4324	exact	AP BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP	12
svaBAva	AK-3.3	4324	exact	BHS BUR CAE CCS MD MW PWG PWK VCP	9
Atman	AK-3.3	4325	exact	AP BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP	12
brahman	AK-3.3	4325	exact	AP BHS CAE CCS GRA INM MD MW PWG PWK SCH VCP VEI	13
Atman	AK-3.3	4326	exact	AP BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP	12
varzman	AK-3.3	4326	exact	AP CAE CCS GRA MD MW PWG PWK	8
GanAGana	AK-3.3	4327	exact	AP CAE CCS GRA MD MW PWG PWK SCH VCP	10
Sakra	AK-3.3	4327	exact	BHS BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP	12
GanAGana	AK-3.3	4328	exact	AP CAE CCS GRA MD MW PWG PWK SCH VCP	10
GAtukamatteBa	AK-3.3	4328	miss		0
GanAGana	AK-3.3	4329	exact	AP CAE CCS GRA MD MW PWG PWK SCH VCP	10
varzukAbda	AK-3.3	4329	exact	MW	1
aBimAna	AK-3.3	4330	exact	BUR CAE CCS GRA MW PWG PWK SCH VCP	9
arTAdidarpa	AK-3.3	4330	miss		0
aBimAna	AK-3.3	4331	exact	BUR CAE CCS GRA MW PWG PWK SCH VCP	9
jYAna	AK-3.3	4331	exact	BHS BUR CAE CCS MD MW PWG PWK SCH VCP	10
aBimAna	AK-3.3	4332	exact	BUR CAE CCS GRA MW PWG PWK SCH VCP	9
praRaya	AK-3.3	4332	exact	CAE CCS MD MW PWG PWK SCH VCP	8
aBimAna	AK-3.3	4333	exact	BUR CAE CCS GRA MW PWG PWK SCH VCP	9
hiMsA	AK-3.3	4333	exact	AP BUR CCS MW SKD VCP	6
Gana	AK-3.3	4334	exact	AP BUR CAE CCS GRA MD MW PWG PWK SCH VCP	11
meGa	AK-3.3	4334	exact	BHS BUR CAE CCS GRA MD MW PWG PWK SCH VCP VEI	12
Gana	AK-3.3	4335	exact	AP BUR CAE CCS GRA MD MW PWG PWK SCH VCP	11
mUrtiguRa	AK-3.3	4335	miss		0
