lane	kewa_seq	vol	page	heading_idx	kewa_slp1	match_basis	pwg_key1	witness	n_candidates	lemma_route	routes_agree	flags
modern-IE	8365	III	368	1	sfgAlaH	sandhi/diacritic-normalized	sfgAla	rule	1	sfgAla	1	
modern-IE	8366	III	368-369	0	SfNkalA	unmatched			0			
modern-IE	8367	III	369	0	SfNkARikA	unmatched			0			
modern-IE	8368	III	369-370	0	SfNgam	sandhi/diacritic-normalized	SfNga	rule	1	SfNga	1	
modern-IE	8369	III	370	0	SfNgaveram	sandhi/diacritic-normalized	SfNgavera	rule	1	SfNgavera	1	
modern-IE	8370	III	370-371	0	SfNgAtaH	unmatched			0			
modern-IE	8371	III	371	0	SfNgAraH	sandhi/diacritic-normalized	SfNgAra	rule	1	SfNgAra	1	
modern-IE	8372	III	371	0	SfNgikaH	sandhi/diacritic-normalized	SfNgika	rule	1	SfNgika	1	
modern-IE	8373	III	371	0	SfNGAnikA	unmatched			0			
modern-IE	8374	III	371-372	0	SfRAti	unmatched			0			
modern-IE	8375	III	372-374	0	SfRoti	finite-form->root	Sru	dcs	1	Sru	same-route	
modern-IE	8376	III	374	0	SftaH	sandhi/diacritic-normalized	Sfta	rule	1	Sfta	1	
modern-IE	8377	III	374	0	SfTitaH	unmatched			0			
modern-IE	8377	III	374	1	aSfTitaH	sandhi/diacritic-normalized	aSfTita	rule	1			
modern-IE	8378	III	374	0	SfD	unmatched			0			bound-prefix-or-stem
modern-IE	8378	III	374	1	SfDyA	exact	SfDyA	PWG-key1	1			
modern-IE	8379	III	374	0	SfmBaH	unmatched			0			
modern-IE	8379	III	374	1	niSfmBaH	sandhi/diacritic-normalized	niSfmBa	rule	1			
modern-IE	8380	III	374	0	SeKaraH	sandhi/diacritic-normalized	SeKara	rule	1	SeKara	1	
modern-IE	8381	III	374	0	Sete	finite-form->root	SI	dcs	1	SI	same-route	
modern-IE	8382	III	374-375	0	SepaH	inflected-form->stem	Sepas	dcs	1	Sepa|Sepas	same-route	as-stem-disambiguated
modern-IE	8383	III	375	0	SePAlI	unmatched			0			
modern-IE	8384	III	375	0	SemuzI	exact	SemuzI	PWG-key1	1	SemuzI	1	
modern-IE	8385	III	375	0	SeraBaH	sandhi/diacritic-normalized	SeraBa	rule	1			
modern-IE	8385	III	375	1	SeraBakaH	unmatched			0			
modern-IE	8386	III	375-376	0	SeluH	sandhi/diacritic-normalized	Selu	rule	1	Selu	1	
modern-IE	8387	III	376	0	Sevalam	sandhi/diacritic-normalized	Sevala	rule	1	Sevala	1	
modern-IE	8388	III	376	0	SevaH	sandhi/diacritic-normalized	Seva	rule	1	Seva	1	
modern-IE	8389	III	376	0	SezaH	inflected-form->stem	Sezas	dcs	1	Seza|Sezas|ka	same-route	as-stem-disambiguated
modern-IE	8389	III	376	1	SezaRa	exact	SezaRa	PWG-key1	1			bound-prefix-or-stem
modern-IE	8390	III	376	0	SEkyaH	sandhi/diacritic-normalized	SEkya	rule	1			
modern-IE	8391	III	376	0	SElUzaH	sandhi/diacritic-normalized	SElUza	rule	1	SElUza	1	
modern-IE	8392	III	377	0	SEvalaH	sandhi/diacritic-normalized	SEvala	rule	1	SEvala	1	
modern-IE	8393	III	377	0	SEvalA	inflected-form->stem	SEvala	dcs	1	SEvala	same-route	
modern-IE	8394	III	377	0	SEvAlam	sandhi/diacritic-normalized	SEvAla	rule	1	SEvAla	1	
modern-IE	8395	III	377	0	SokavallI	unmatched			0			
modern-IE	8396	III	377	0	SokaH	sandhi/diacritic-normalized	Soka	rule	1	Soka	1	
modern-IE	8396	III	377	1	SokaH	sandhi/diacritic-normalized	Soka	rule	1	Soka	1	
modern-IE	8397	III	377-378	0	Socati	finite-form->root	Suc	dcs	1	Suc	same-route	
modern-IE	8398	III	378	0	SoWaH	sandhi/diacritic-normalized	SoWa	rule	1			
modern-IE	8399	III	378-379	0	SoRaH	sandhi/diacritic-normalized	SoRa	rule	1	SoRa	1	
modern-IE	8400	III	379	0	SoTaH	sandhi/diacritic-normalized	SoTa	rule	1	SoTa	1	
modern-IE	8401	III	379	0	SoDanam	sandhi/diacritic-normalized	SoDana	rule	1	SoDana	1	
modern-IE	8402	III	379	0	SonAkaH	unmatched			0			
modern-IE	8403	III	379	0	SoPaH	sandhi/diacritic-normalized	SoPa	rule	1	SoPa	1	
modern-IE	8404	III	380	0	SoBate	finite-form->root	SuB	dcs	1	SuB	same-route	
modern-IE	8405	III	380	0	SozaH	sandhi/diacritic-normalized	Soza	rule	1	Soza	1	
