slp1	hom	sense_id	first_era	bucket_via	marginal	n_cites	n_dateable	att_sense_no	att_block	att_earliest	att_latest	conflict	cause	verdict	adjudicated_era	notes
pada		10	vedic	dcs	0	25	20	10	1	-1125	1200	0	ok	agree	vedic	
pada		11	vedic	dcs	0	44	37	11	1	-800	1400	0	ok	agree	vedic	
pada		12	epic-sutra	dharmamitra+hand:class	0	17	13	12	1	80	200	0	ok	agree	epic-sutra	
pada		13			0	2	0	13	1	None	None	0	ok	agree		
pada		14	early-medieval	dharmamitra	0	9	8	14	1	None	None	0	ok	agree	early-medieval	
pada		15	early-medieval	dharmamitra	0	5	5	15	1	None	None	0	ok	agree	early-medieval	
pada		16			0	1	0	16	1	None	None	0	ok	agree		
pada		17	classical	dharmamitra	0	3	2	17	1	450	1200	0	ok	agree	classical	
pada		18			0	4	0	18	1	None	None	0	ok	agree		
pada		2	vedic	dcs	0	34	29	2	1	-1125	1150	0	ok	agree	vedic	
