L	key1	devanagari	translit	sense	pc	anchor
102249	SvetakuSa	श्वेतकुश	śvetakuśa		7-0424	pc
102250	SvetakfzRA	श्वेतकृष्णा	śvetakṛṣṇā		7-0424	pc
102251	Svetaketu	श्वेतकेतु	śvetaketu		7-0424	pc
102252	SvetakeSa	श्वेतकेश	śvetakeśa		7-0424	pc
102253	Svetakola	श्वेतकोल	śvetakola		7-0424	pc
102254	SvetaKadira	श्वेतखदिर	śvetakhadira		7-0424	pc
102255	SvetagaNgA	श्वेतगङ्गा	śvetagaṅgā		7-0424	pc
102256	Svetagaja	श्वेतगज	śvetagaja		7-0424	pc
102257	Svetagarut	श्वेतगरुत्	śvetagarut		7-0424	pc
102258	Svetagiri	श्वेतगिरि	śvetagiri		7-0424	pc
102259	SvetaguYjA	श्वेतगुञ्जा	śvetaguñjā		7-0424	pc
102261	SvetagokarRI	श्वेतगोकर्णी	śvetagokarṇī		7-0424	pc
102262	SvetaGaRwI	श्वेतघण्टी	śvetaghaṇṭī		7-0425	pc
102263	Svetacandana	श्वेतचन्दन	śvetacandana		7-0425	pc
102264	Svetacampaka	श्वेतचम्पक	śvetacampaka		7-0425	pc
102265	SvetacaraRa	श्वेतचरण	śvetacaraṇa		7-0425	pc
102266	SvetacillikA	श्वेतचिल्लिका	śvetacillikā		7-0425	pc
102267	SvetacCattra	श्वेतच्छत्त्र	śvetacchattra		7-0425	pc
102268	SvetacCada	श्वेतच्छद	śvetacchada		7-0425	pc
102269	SvetajIraka	श्वेतजीरक	śvetajīraka		7-0425	pc
102270	SvetawaNkaka	श्वेतटङ्कक	śvetaṭaṅkaka		7-0425	pc
102271	SvetawaNkaRa	श्वेतटङ्कण	śvetaṭaṅkaṇa		7-0425	pc
102272	Svetatapas	श्वेततपस्	śvetatapas		7-0425	pc
102273	Svetatara	श्वेततर	śvetatara		7-0425	pc
102274	SvetatA	श्वेतता	śvetatā		7-0425	pc
102275	SvetadUrvA	श्वेतदूर्वा	śvetadūrvā		7-0425	pc
102276	Svetadyuti	श्वेतद्युति	śvetadyuti		7-0425	pc
102277	Svetadruma	श्वेतद्रुम	śvetadruma		7-0425	pc
102278	Svetadvipa	श्वेतद्वीप	śvetadvīpa		7-0425	pc
102278	Svetadvipa	श्वेतद्विप	śvetadvipa		7-0425	pc
102280	SvetaDAtu	श्वेतधातु	śvetadhātu		7-0425	pc
102281	SvetaDAman	श्वेतधामन्	śvetadhāman		7-0425	pc
102282	SvetanA	श्वेतना	śvetanā		7-0425	pc
102283	SvetanAman	श्वेतनामन्	śvetanāman		7-0425	pc
102284	SvetanIla	श्वेतनील	śvetanīla		7-0425	pc
102285	Svetapakza	श्वेतपक्ष	śvetapakṣa		7-0425	pc
102286	Svetapawa	श्वेतपट	śvetapaṭa		7-0425	pc
102287	Svetapattra	श्वेतपत्त्र	śvetapattra		7-0425	pc
102288	SvetapattraraTa	श्वेतपत्त्ररथ	śvetapattraratha		7-0425	pc
102289	Svetapadma	श्वेतपद्म	śvetapadma		7-0426	pc
102290	SvetaparRa	श्वेतपर्ण	śvetaparṇa		7-0426	pc
102291	SvetaparRAsa	श्वेतपर्णास	śvetaparṇāsa		7-0426	pc
102292	Svetaparvata	श्वेतपर्वत	śvetaparvata		7-0426	pc
102293	SvetapAkI	श्वेतपाकी	śvetapākī		7-0426	pc
102294	SvetapAwalA	श्वेतपाटला	śvetapāṭalā		7-0426	pc
102295	SvetapAda	श्वेतपाद	śvetapāda		7-0426	pc
102296	SvetapiNga	श्वेतपिङ्ग	śvetapiṅga		7-0426	pc
102297	SvetapiNgala	श्वेतपिङ्गल	śvetapiṅgala		7-0426	pc
102298	SvetapiNgalaka	श्वेतपिङ्गलक	śvetapiṅgalaka		7-0426	pc
102299	SvetapiRqItaka	श्वेतपिण्डीतक	śvetapiṇḍītaka		7-0426	pc
102300	SvetapuNKA	श्वेतपुङ्खा	śvetapuṅkhā		7-0426	pc
102301	Svetapuzpa	श्वेतपुष्प	śvetapuṣpa	1	7-0426	pc
102302	Svetapuzpa	श्वेतपुष्प	śvetapuṣpa	2	7-0426	pc
102303	SvetapuzpikA	श्वेतपुष्पिका	śvetapuṣpikā		7-0426	pc
102304	SvetaprasUnaka	श्वेतप्रसूनक	śvetaprasūnaka		7-0426	pc
102305	SvetaPalA	श्वेतफला	śvetaphalā		7-0426	pc
102306	SvetabuhnA	श्वेतबुह्ना	śvetabuhnā		7-0426	pc
102307	SvetabfhatI	श्वेतबृहती	śvetabṛhatī		7-0426	pc
102308	SvetaBaRqA	श्वेतभण्डा	śvetabhaṇḍā		7-0426	pc
102309	SvetaBadra	श्वेतभद्र	śvetabhadra		7-0426	pc
102310	SvetaBAnu	श्वेतभानु	śvetabhānu		7-0426	pc
102311	SvetaBikzu	श्वेतभिक्षु	śvetabhikṣu		7-0426	pc
102312	SvetamaRqala	श्वेतमण्डल	śvetamaṇḍala		7-0426	pc
102313	SvetamandAra	श्वेतमन्दार	śvetamandāra		7-0426	pc
102314	Svetamarica	श्वेतमरिच	śvetamarica		7-0426	pc
102315	SvetamahowikA	श्वेतमहोटिका	śvetamahoṭikā		7-0426	pc
102316	SvetamADava	श्वेतमाधव	śvetamādhava		7-0426	pc
102317	SvetamAla	श्वेतमाल	śvetamāla		7-0426	pc
102318	SvetamUtratA	श्वेतमूत्रता	śvetamūtratā		7-0426	pc
102319	SvetamUla	श्वेतमूल	śvetamūla		7-0427	pc
102320	Svetameha	श्वेतमेह	śvetameha		7-0427	pc
102321	Svetamoda	श्वेतमोद	śvetamoda		7-0427	pc
102324	Svetarakta	श्वेतरक्त	śvetarakta		7-0427	pc
102325	SvetaraYjana	श्वेतरञ्जन	śvetarañjana		7-0427	pc
102326	SvetaraTa	श्वेतरथ	śvetaratha		7-0427	pc
102327	SvetaraSmi	श्वेतरश्मि	śvetaraśmi		7-0427	pc
102328	Svetarasa	श्वेतरस	śvetarasa		7-0427	pc
102329	SvetarAjI	श्वेतराजी	śvetarājī		7-0427	pc
102330	SvetarAvaka	श्वेतरावक	śvetarāvaka		7-0427	pc
102331	SvetarUpya	श्वेतरूप्य	śvetarūpya		7-0427	pc
102332	Svetarocis	श्वेतरोचिस्	śvetarocis		7-0427	pc
102333	Svetarohita	श्वेतरोहित	śvetarohita		7-0427	pc
102334	SvetaloDra	श्वेतलोध्र	śvetalodhra		7-0427	pc
102335	Svetalohita	श्वेतलोहित	śvetalohita		7-0427	pc
102336	Svetavaktra	श्वेतवक्त्र	śvetavaktra		7-0427	pc
102337	SvetavacA	श्वेतवचा	śvetavacā		7-0427	pc
102338	SvetavatsA	श्वेतवत्सा	śvetavatsā		7-0427	pc
102339	Svetavalkala	श्वेतवल्कल	śvetavalkala		7-0427	pc
102340	Svetavastrin	श्वेतवस्त्रिन्	śvetavastrin		7-0427	pc
102341	SvetavAjin	श्वेतवाजिन्	śvetavājin		7-0427	pc
102342	SvetavArAha	श्वेतवाराह	śvetavārāha		7-0427	pc
102344	SvetavAsas	श्वेतवासस्	śvetavāsas		7-0427	pc
102345	SvetavAh	श्वेतवाह्	śvetavāh		7-0427	pc
102346	SvetavAha	श्वेतवाह	śvetavāha		7-0427	pc
102347	SvetavAhana	श्वेतवाहन	śvetavāhana		7-0427	pc
102348	SvetavAhin	श्वेतवाहिन्	śvetavāhin		7-0428	pc
102349	Svetavfkza	श्वेतवृक्ष	śvetavṛkṣa		7-0428	pc
102350	Svetavrata	श्वेतव्रत	śvetavrata		7-0428	pc
102351	SvetaSarapuNKA	श्वेतशरपुङ्खा	śvetaśarapuṅkhā		7-0428	pc
102352	SvetaSiMSapA	श्वेतशिंशपा	śvetaśiṃśapā		7-0428	pc
102353	SvetaSiKa	श्वेतशिख	śvetaśikha		7-0428	pc
102354	SvetaSigru	श्वेतशिग्रु	śvetaśigru		7-0428	pc
102355	SvetaSIrza	श्वेतशीर्ष	śvetaśīrṣa		7-0428	pc
102356	SvetaSuNga	श्वेतशुङ्ग	śvetaśuṅga		7-0428	pc
102357	SvetaSUraRa	श्वेतशूरण	śvetaśūraṇa		7-0428	pc
102358	SvetaSEla	श्वेतशैल	śvetaśaila		7-0428	pc
102359	SvetaSElamaya	श्वेतशैलमय	śvetaśailamaya		7-0428	pc
102360	Svetasarpa	श्वेतसर्प	śvetasarpa		7-0428	pc
102361	Svetasarzapa	श्वेतसर्षप	śvetasarṣapa		7-0428	pc
102362	SvetasAra	श्वेतसार	śvetasāra		7-0428	pc
102363	SvetasiMhI	श्वेतसिंही	śvetasiṃhī		7-0428	pc
102364	SvetasidDa	श्वेतसिद्ध	śvetasiddha		7-0428	pc
102365	SvetasurasA	श्वेतसुरसा	śvetasurasā		7-0428	pc
102366	SvetaspandA	श्वेतस्पन्दा	śvetaspandā		7-0428	pc
102367	Svetahanu	श्वेतहनु	śvetahanu		7-0428	pc
102368	Svetahaya	श्वेतहय	śvetahaya	1	7-0428	pc
102369	Svetahaya	श्वेतहय	śvetahaya	2	7-0428	pc
102370	Svetahastin	श्वेतहस्तिन्	śvetahastin		7-0428	pc
102371	SvetAkza	श्वेताक्ष	śvetākṣa		7-0428	pc
102372	SvetARqa	श्वेताण्ड	śvetāṇḍa		7-0428	pc
102373	SvetAtreya	श्वेतात्रेय	śvetātreya		7-0428	pc
102374	SvetAdri	श्वेताद्रि	śvetādri		7-0428	pc
102375	SvetAnulepana	श्वेतानुलेपन	śvetānulepana		7-0428	pc
102376	SvetAnUkASa	श्वेतानूकाश	śvetānūkāśa		7-0428	pc
102377	SvetAmbara	श्वेताम्बर	śvetāmbara		7-0428	pc
102379	SvetAyin	श्वेतायिन्	śvetāyin		7-0429	pc
102380	SvetAraRya	श्वेतारण्य	śvetāraṇya		7-0429	pc
102381	SvetArka	श्वेतार्क	śvetārka		7-0429	pc
102382	SvetArcis	श्वेतार्चिस्	śvetārcis		7-0429	pc
102383	SvetAvara	श्वेतावर	śvetāvara		7-0429	pc
102384	SvetASva	श्वेताश्व	śvetāśva	1	7-0429	pc
102385	SvetASva	श्वेताश्व	śvetāśva	2	7-0429	pc
102386	SvetASvatara	श्वेताश्वतर	śvetāśvatara		7-0429	pc
102387	SvetAsya	श्वेतास्य	śvetāsya		7-0429	pc
102388	SvetAhvA	श्वेताह्वा	śvetāhvā		7-0429	pc
102389	Svetika	श्वेतिक	śvetika		7-0429	pc
102390	Svetekzu	श्वेतेक्षु	śvetekṣu		7-0429	pc
102391	Svetotpala	श्वेतोत्पल	śvetotpala		7-0429	pc
102392	Svetodara	श्वेतोदर	śvetodara		7-0429	pc
102393	SvetOhI	श्वेतौही	śvetauhī		7-0429	pc
102394	Svetya	श्वेत्य	śvetya		7-0430	pc
102394	Svetya	श्वैत्य	śvaitya		7-0430	pc
102395	Svetra	श्वेत्र	śvetra		7-0430	pc
102396	SvEkna	श्वैक्न	śvaikna		7-0430	pc
102397	SvEtacCattrika	श्वैतच्छत्त्रिक	śvaitacchattrika		7-0430	pc
102398	SvEtarI	श्वैतरी	śvaitarī		7-0430	pc
102399	SvEti	श्वैति	śvaiti		7-0430	pc
102401	SvEtreya	श्वैत्रेय	śvaitreya		7-0430	pc
102402	SvEtrya	श्वैत्र्य	śvaitrya		7-0430	pc
102403	SvoBAva	श्वोभाव	śvobhāva		7-0430	pc
102404	SvoBAvin	श्वोभाविन्	śvobhāvin		7-0430	pc
102405	SvomaraRa	श्वोमरण	śvomaraṇa		7-0430	pc
102406	SvovasIya	श्वोवसीय	śvovasīya		7-0430	pc
102407	SvovasIyasa	श्वोवसीयस	śvovasīyasa		7-0430	pc
102408	Svovasyasa	श्वोवस्यस	śvovasyasa		7-0430	pc
102409	za	ष	ṣa	1	7-0431	pc
102410	za	ष	ṣa	2	7-0431	pc
102411	zawka	षट्क	ṣaṭka		7-0431	pc
102412	zawkapAla	षट्कपाल	ṣaṭkapāla		7-0431	pc
102413	zawkarRa	षट्कर्ण	ṣaṭkarṇa		7-0431	pc
102414	zawkarman	षट्कर्मन्	ṣaṭkarman	1	7-0431	pc
102415	zawkarman	षट्कर्मन्	ṣaṭkarman	2	7-0431	pc
102416	zawkala	षट्कल	ṣaṭkala		7-0432	pc
102417	zawkAra	षट्कार	ṣaṭkāra		7-0432	pc
102418	zawkArakapraticCandaka	षट्कारकप्रतिच्छन्दक	ṣaṭkārakapraticchandaka		7-0432	pc
102419	zawkukzi	षट्कुक्षि	ṣaṭkukṣi		7-0432	pc
102420	zawkulIya	षट्कुलीय	ṣaṭkulīya		7-0432	pc
102421	zawkUwA	षट्कूटा	ṣaṭkūṭā		7-0432	pc
102422	zawkftvas	षट्कृत्वस्	ṣaṭkṛtvas		7-0432	pc
102423	zawkoRa	षट्कोण	ṣaṭkoṇa		7-0432	pc
102424	zawKewaka	षट्खेटक	ṣaṭkheṭaka		7-0432	pc
102425	zawcakra	षट्चक्र	ṣaṭcakra		7-0432	pc
102426	zawcatvAriMSa	षट्चत्वारिंश	ṣaṭcatvāriṃśa		7-0432	pc
102427	zawcatvAriMSaka	षट्चत्वारिंशक	ṣaṭcatvāriṃśaka		7-0432	pc
102428	zawcatvAriMSat	षट्चत्वारिंशत्	ṣaṭcatvāriṃśat		7-0432	pc
102429	zawcaraRa	षट्चरण	ṣaṭcaraṇa		7-0432	pc
102431	zawcitika	षट्चितिक	ṣaṭcitika		7-0432	pc
102432	zaww	षट्ट्	ṣaṭṭ	,	7-0432	pc
102433	zawtantrI	षट्तन्त्री	ṣaṭtantrī		7-0433	pc
102435	zawtiladAna	षट्तिलदान	ṣaṭtiladāna		7-0433	pc
102436	zawtilin	षट्तिलिन्	ṣaṭtilin		7-0433	pc
102437	zawtriMSa	षट्त्रिंश	ṣaṭtriṃśa		7-0433	pc
102438	zawtriMSat	षट्त्रिंशत्	ṣaṭtriṃśat		7-0433	pc
102439	zawtriMSatka	षट्त्रिंशत्क	ṣaṭtriṃśatka		7-0433	pc
102440	zawtriMSadahaSas	षट्त्रिंशदहशस्	ṣaṭtriṃśadahaśas		7-0433	pc
102441	zawtva	षट्त्व	ṣaṭtva		7-0433	pc
102442	zawpakza	षट्पक्ष	ṣaṭpakṣa		7-0433	pc
102443	zawpaYcavarza	षट्पञ्चवर्ष	ṣaṭpañcavarṣa		7-0433	pc
102444	zawpaYcASa	षट्पञ्चाश	ṣaṭpañcāśa		7-0433	pc
102445	zawpaYcASat	षट्पञ्चाशत्	ṣaṭpañcāśat		7-0433	pc
102446	zawpaYcASikA	षट्पञ्चाशिका	ṣaṭpañcāśikā		7-0433	pc
102447	zawpattra	षट्पत्त्र	ṣaṭpattra		7-0433	pc
102448	zawpad	षट्पद्	ṣaṭpad		7-0433	pc
102449	zawpada	षट्पद	ṣaṭpada		7-0433	pc
102450	zawpadapriya	षट्पदप्रिय	ṣaṭpadapriya		7-0434	pc
102451	zawpadAtiTi	षट्पदातिथि	ṣaṭpadātithi		7-0434	pc
102452	zawpadAnandavarDana	षट्पदानन्दवर्धन	ṣaṭpadānandavardhana		7-0434	pc
102453	zawpadABiDarma	षट्पदाभिधर्म	ṣaṭpadābhidharma		7-0434	pc
102454	zawpadikA	षट्पदिका	ṣaṭpadikā		7-0434	pc
102455	zawpadezwa	षट्पदेष्ट	ṣaṭpadeṣṭa		7-0434	pc
102456	zawpalika	षट्पलिक	ṣaṭpalika		7-0434	pc
102457	zawpAda	षट्पाद	ṣaṭpāda		7-0434	pc
102458	zawpitAputraka	षट्पितापुत्रक	ṣaṭpitāputraka		7-0434	pc
102459	zawpura	षट्पुर	ṣaṭpura		7-0434	pc
102460	zawpragATa	षट्प्रगाथ	ṣaṭpragātha		7-0434	pc
102462	zawpraSnopanizad	षट्प्रश्नोपनिषद्	ṣaṭpraśnopaniṣad		7-0434	pc
102463	zawSata	षट्शत	ṣaṭśata		7-0434	pc
102465	zawSas	षट्शस्	ṣaṭśas		7-0435	pc
102466	zawSAstrin	षट्शास्त्रिन्	ṣaṭśāstrin		7-0435	pc
102467	zawzazwa	षट्षष्ट	ṣaṭṣaṣṭa		7-0435	pc
102468	zawzazwi	षट्षष्टि	ṣaṭṣaṣṭi		7-0435	pc
102469	zawzazwitama	षट्षष्टितम	ṣaṭṣaṣṭitama		7-0435	pc
102470	zawzoqaSin	षट्षोडशिन्	ṣaṭṣoḍaśin		7-0435	pc
102471	zawsapta	षट्सप्त	ṣaṭsapta		7-0435	pc
102472	zawsaptata	षट्सप्तत	ṣaṭsaptata		7-0435	pc
102473	zawsaptati	षट्सप्तति	ṣaṭsaptati		7-0435	pc
102474	zawsaptatitama	षट्सप्ततितम	ṣaṭsaptatitama		7-0435	pc
102475	zawsahasra	षट्सहस्र	ṣaṭsahasra		7-0435	pc
102476	zawsahasraSata	षट्सहस्रशत	ṣaṭsahasraśata		7-0435	pc
102477	zaqa	षड	ṣaḍa		7-0435	pc
102478	zaqaMSa	षडंश	ṣaḍaṃśa	1	7-0435	pc
102479	zaqaMSa	षडंश	ṣaḍaṃśa	2	7-0435	pc
102480	zaqaMhri	षडंह्रि	ṣaḍaṃhri		7-0435	pc
102481	zaqakza	षडक्ष	ṣaḍakṣa		7-0435	pc
102482	zaqakzara	षडक्षर	ṣaḍakṣara		7-0435	pc
102483	zaqakzIRa	षडक्षीण	ṣaḍakṣīṇa		7-0435	pc
102484	zaqaga	षडग	ṣaḍaga		7-0435	pc
102485	zaqaNga	षडङ्ग	ṣaḍaṅga	1	7-0435	pc
102486	zaqaNga	षडङ्ग	ṣaḍaṅga	2	7-0435	pc
102487	zaqaNgaka	षडङ्गक	ṣaḍaṅgaka		7-0435	pc
102488	zaqaNgajit	षडङ्गजित्	ṣaḍaṅgajit		7-0436	pc
102490	zaqaNgulidatta	षडङ्गुलिदत्त	ṣaḍaṅgulidatta		7-0436	pc
102491	zaqaNGri	षडङ्घ्रि	ṣaḍaṅghri		7-0436	pc
102492	zaqaRqa	षडण्ड	ṣaḍaṇḍa		7-0436	pc
102493	zaqaBijYa	षडभिज्ञ	ṣaḍabhijña		7-0436	pc
102494	zaqara	षडर	ṣaḍara		7-0436	pc
102495	zaqaratni	षडरत्नि	ṣaḍaratni		7-0436	pc
102496	zaqarca	षडर्च	ṣaḍarca		7-0436	pc
102497	zaqavatta	षडवत्त	ṣaḍavatta		7-0436	pc
102498	zaqaSIta	षडशीत	ṣaḍaśīta		7-0436	pc
102499	zaqaSIti	षडशीति	ṣaḍaśīti		7-0436	pc
102500	zaqaSItitama	षडशीतितम	ṣaḍaśītitama		7-0436	pc
102501	zaqaSva	षडश्व	ṣaḍaśva		7-0436	pc
102502	zaqazwaka	षडष्टक	ṣaḍaṣṭaka		7-0436	pc
102505	zaqaha	षडह	ṣaḍaha		7-0436	pc
102506	zaqahorAtra	षडहोरात्र	ṣaḍahorātra		7-0436	pc
102507	zaqAtman	षडात्मन्	ṣaḍātman		7-0436	pc
102508	zaqAnana	षडानन	ṣaḍānana	1	7-0436	pc
102509	zaqAnana	षडानन	ṣaḍānana	2	7-0437	pc
102510	zaqAmnAya	षडाम्नाय	ṣaḍāmnāya		7-0437	pc
102511	zaqAyatana	षडायतन	ṣaḍāyatana		7-0437	pc
102512	zaqAhuti	षडाहुति	ṣaḍāhuti	1	7-0437	pc
102513	zaqAhuti	षडाहुति	ṣaḍāhuti	2	7-0437	pc
102514	zaqAhutika	षडाहुतिक	ṣaḍāhutika		7-0437	pc
102515	zaqika	षडिक	ṣaḍika		7-0437	pc
102517	zaquttara	षडुत्तर	ṣaḍuttara		7-0437	pc
102518	zaqudyAma	षडुद्याम	ṣaḍudyāma		7-0437	pc
102519	zaqUna	षडून	ṣaḍūna		7-0437	pc
102520	zaqUrmi	षडूर्मि	ṣaḍūrmi		7-0437	pc
102521	zaqUzaRa	षडूषण	ṣaḍūṣaṇa		7-0437	pc
102522	zaqfca	षडृच	ṣaḍṛca		7-0437	pc
102524	zaqgaRa	षड्गण	ṣaḍgaṇa		7-0437	pc
102525	zaqgayA	षड्गया	ṣaḍgayā		7-0437	pc
102526	zaqgarBa	षड्गर्भ	ṣaḍgarbha		7-0437	pc
102527	zaqgava	षड्गव	ṣaḍgava		7-0437	pc
102528	zaqgavIya	षड्गवीय	ṣaḍgavīya		7-0437	pc
102529	zaqguRa	षड्गुण	ṣaḍguṇa	1	7-0437	pc
102530	zaqguRa	षड्गुण	ṣaḍguṇa	2	7-0438	pc
102532	zaqguruBAzya	षड्गुरुभाष्य	ṣaḍgurubhāṣya		7-0438	pc
102533	zaqguruSizya	षड्गुरुशिष्य	ṣaḍguruśiṣya		7-0438	pc
102534	zaqgranTa	षड्ग्रन्थ	ṣaḍgrantha		7-0438	pc
102535	zaqgranTi	षड्ग्रन्थि	ṣaḍgranthi		7-0438	pc
102536	zaqgranTikA	षड्ग्रन्थिका	ṣaḍgranthikā		7-0438	pc
102537	zaqja	षड्ज	ṣaḍja		7-0438	pc
102538	zaqQA	षड्ढा	ṣaḍḍhā		7-0438	pc
102540	zaqdarSana	षड्दर्शन	ṣaḍdarśana	1	7-0438	pc
102541	zaqdarSana	षड्दर्शन	ṣaḍdarśana	2	7-0438	pc
102542	zaqdaSana	षड्दशन	ṣaḍdaśana		7-0438	pc
102543	zaqDA	षड्धा	ṣaḍdhā		7-0438	pc
102544	zaqbindu	षड्बिन्दु	ṣaḍbindu		7-0438	pc
102545	zaqBAga	षड्भाग	ṣaḍbhāga		7-0438	pc
102546	zaqBAvavAdin	षड्भाववादिन्	ṣaḍbhāvavādin		7-0439	pc
102547	zaqBuja	षड्भुज	ṣaḍbhuja		7-0439	pc
102548	zaqyoga	षड्योग	ṣaḍyoga	1	7-0439	pc
102549	zaqyoga	षड्योग	ṣaḍyoga	2	7-0439	pc
102550	zaqrada	षड्रद	ṣaḍrada		7-0439	pc
102551	zaqrasa	षड्रस	ṣaḍrasa	1	7-0439	pc
102552	zaqrasa	षड्रस	ṣaḍrasa	2	7-0439	pc
102553	zaqrasAsava	षड्रसासव	ṣaḍrasāsava		7-0439	pc
102554	zaqrAtra	षड्रात्र	ṣaḍrātra		7-0439	pc
102555	zaqreKA	षड्रेखा	ṣaḍrekhā		7-0439	pc
102556	zaqlavaRa	षड्लवण	ṣaḍlavaṇa		7-0439	pc
102558	zaqvaktra	षड्वक्त्र	ṣaḍvaktra		7-0439	pc
102559	zaqvarga	षड्वर्ग	ṣaḍvarga		7-0439	pc
102560	zaqviMSa	षड्विंश	ṣaḍviṃśa		7-0439	pc
102561	zaqviMSaka	षड्विंशक	ṣaḍviṃśaka		7-0439	pc
102562	zaqviMSati	षड्विंशति	ṣaḍviṃśati		7-0439	pc
102563	zaqviMSatika	षड्विंशतिक	ṣaḍviṃśatika		7-0440	pc
102564	zaqviMSatitama	षड्विंशतितम	ṣaḍviṃśatitama		7-0440	pc
102565	zaqviMSatima	षड्विंशतिम	ṣaḍviṃśatima		7-0440	pc
102566	zaqviMSatka	षड्विंशत्क	ṣaḍviṃśatka		7-0440	pc
102567	zaqviDa	षड्विध	ṣaḍvidha		7-0440	pc
102568	zaqviDAna	षड्विधान	ṣaḍvidhāna		7-0440	pc
102569	zaqvinDyA	षड्विन्ध्या	ṣaḍvindhyā		7-0440	pc
102570	zaRqa	षण्ड	ṣaṇḍa	1	7-0440	pc
102571	zaRqa	षण्ड	ṣaṇḍa	2	7-0440	pc
102572	zaRqaka	षण्डक	ṣaṇḍaka		7-0440	pc
102573	zaRqakApAlika	षण्डकापालिक	ṣaṇḍakāpālika		7-0440	pc
102574	zaRqatA	षण्डता	ṣaṇḍatā	1	7-0440	pc
102575	zaRqatA	षण्डता	ṣaṇḍatā	2	7-0440	pc
102576	zaRqatva	षण्डत्व	ṣaṇḍatva	1	7-0441	pc
102576	zaRqatva	षण्ढत्व	ṣaṇḍhatva		7-0441	pc
102577	zaRqatva	षण्डत्व	ṣaṇḍatva	2	7-0441	pc
102578	zaRqAlI	षण्डाली	ṣaṇḍālī		7-0441	pc
102580	zaRQa	षण्ढ	ṣaṇḍha		7-0441	pc
102582	zaRQatA	षण्ढता	ṣaṇḍhatā		7-0441	pc
102583	zaRQatila	षण्ढतिल	ṣaṇḍhatila		7-0441	pc
102585	zaRQitA	षण्ढिता	ṣaṇḍhitā		7-0441	pc
102586	zaRRagarika	षण्णगरिक	ṣaṇṇagarika		7-0441	pc
102587	zaRRagarI	षण्णगरी	ṣaṇṇagarī		7-0441	pc
102589	zaRRavati	षण्णवति	ṣaṇṇavati		7-0441	pc
102591	zaRRAqIcakra	षण्णाडीचक्र	ṣaṇṇāḍīcakra		7-0441	pc
102592	zaRRABi	षण्णाभि	ṣaṇṇābhi		7-0441	pc
102593	zaRmayUKa	षण्मयूख	ṣaṇmayūkha		7-0441	pc
102594	zaRmAtra	षण्मात्र	ṣaṇmātra		7-0441	pc
102595	zaRmAsa	षण्मास	ṣaṇmāsa		7-0441	pc
102596	zaRmAsika	षण्मासिक	ṣaṇmāsika		7-0442	pc
102597	zaRmAsya	षण्मास्य	ṣaṇmāsya		7-0442	pc
102598	zaRmuKa	षण्मुख	ṣaṇmukha		7-0442	pc
102599	zaRmuhUrtI	षण्मुहूर्ती	ṣaṇmuhūrtī		7-0442	pc
102600	zatva	षत्व	ṣatva		7-0442	pc
102601	zarAjima	षराजिम	ṣarājima		7-0442	pc
102605	zarjUra	षर्जूर	ṣarjūra		7-0442	pc
102606	zalAgru	षलाग्रु	ṣalāgru		7-0442	pc
102607	zaz	षष्	ṣaṣ		7-0442	pc
102608	zazk	षष्क्	ṣaṣk	,	7-0443	pc
102609	zazwa	षष्ट	ṣaṣṭa		7-0443	pc
102610	zazwi	षष्टि	ṣaṣṭi		7-0443	pc
102611	zazwika	षष्टिक	ṣaṣṭika		7-0443	pc
102612	zazwikya	षष्टिक्य	ṣaṣṭikya		7-0443	pc
102613	zazwija	षष्टिज	ṣaṣṭija		7-0443	pc
102614	zazwitantra	षष्टितन्त्र	ṣaṣṭitantra		7-0443	pc
102615	zazwitama	षष्टितम	ṣaṣṭitama		7-0443	pc
102616	zazwiDA	षष्टिधा	ṣaṣṭidhā		7-0443	pc
102617	zazwipaTa	षष्टिपथ	ṣaṣṭipatha		7-0443	pc
102618	zazwipaTika	षष्टिपथिक	ṣaṣṭipathika		7-0443	pc
102619	zazwimatta	षष्टिमत्त	ṣaṣṭimatta		7-0443	pc
102620	zazwirAtra	षष्टिरात्र	ṣaṣṭirātra		7-0443	pc
102621	zazwilatA	षष्टिलता	ṣaṣṭilatā		7-0443	pc
102622	zazwivarzin	षष्टिवर्षिन्	ṣaṣṭivarṣin		7-0443	pc
102623	zazwivAsaraja	षष्टिवासरज	ṣaṣṭivāsaraja		7-0444	pc
102624	zazwividyA	षष्टिविद्या	ṣaṣṭividyā		7-0444	pc
102625	zazwivrata	षष्टिव्रत	ṣaṣṭivrata		7-0444	pc
102626	zazwiSAli	षष्टिशालि	ṣaṣṭiśāli		7-0444	pc
102627	zazwisahasrin	षष्टिसहस्रिन्	ṣaṣṭisahasrin		7-0444	pc
102628	zazwihAyana	षष्टिहायन	ṣaṣṭihāyana		7-0444	pc
102629	zazwihrada	षष्टिह्रद	ṣaṣṭihrada		7-0444	pc
102630	zazwyabda	षष्ट्यब्द	ṣaṣṭyabda		7-0444	pc
102631	zazWa	षष्ठ	ṣaṣṭha		7-0444	pc
102632	zazWaka	षष्ठक	ṣaṣṭhaka		7-0444	pc
102633	zazWakAla	षष्ठकाल	ṣaṣṭhakāla		7-0444	pc
102634	zazWacandra	षष्ठचन्द्र	ṣaṣṭhacandra		7-0445	pc
102635	zazWaBakta	षष्ठभक्त	ṣaṣṭhabhakta	1	7-0445	pc
102636	zazWaBakta	षष्ठभक्त	ṣaṣṭhabhakta	2	7-0445	pc
102637	zazWama	षष्ठम	ṣaṣṭhama		7-0445	pc
