cyrillic	slp1	iast_witness	validation	onomasticon	witness_count	seeds
Тумбуру	tumburu	Tumburu	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Тваштар	tvazwf	Tvaṣṭṛ	onomasticon	inm	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Уччайхшравас	uccEHSravas	Uccaiḥśravas	onomasticon	inm	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Удавасу	udAvasu	Udāvasu	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Ума	umA	Umā	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Урваши	urvaSI	Urvaśī	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Уттара-куру	uttara-kuru	Uttara-kuru	iast-witness-only		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Вачаспати	vAcaspati	Vācaspati	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Валин	vAlin	Vālin	onomasticon	inm	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Вальмики	vAlmIki	Vālmīki	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Вамадева	vAmadeva	Vāmadeva	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Вамана	vAmanA	Vāmanā	lexicon		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Вамана	vAmana	Vāmana	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Варуни	vAruRI	Vāruṇī	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Васава	vAsava	Vāsava	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Васудева	vAsudeva	Vāsudeva	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Васуки	vAsuki	Vāsuki	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Ватапи	vAtApi	Vātāpi	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Ваю	vAyu	Vāyu	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Вайшравана	vESravaRa	Vaiśravaṇa	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Вайдехи	vEdehI	Vaidehī	onomasticon	inm	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Вайтарани	vEtarRI	Vaitarṇī	iast-witness-only		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Ванга	vaNga	Vaṅga	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Вала	vala	Vala	lexicon		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Ванаю	vanAyu	Vanāyu	onomasticon	inm	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Варуна	varuRa	Varuṇa	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Васиштха	vasizWa	Vasiṣṭha	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Васу	vasu	Vasu	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Васудевы	vasudeva	Vasudeva	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Васумати	vasumatI	Vasumatī	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Васваукасара	vasvOkasArA	Vasvaukasārā	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Ведашрути	vedaSruti	Vedaśruti	lexicon		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Вритра	vftra	Vṛtra	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Вибхандака	viBARqaka	Vibhāṇḍaka	onomasticon	inm	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Вибхишана	viBIzaRa	Vibhīṣaṇa	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Видхатар	viDAtf	Vidhātṛ	onomasticon	inm	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Видхатар	viDatf	Vidhatṛ	iast-witness-only		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Вишала	viSAlA	Viśālā	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Вишала	viSAla	Viśāla	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Вишравас	viSravas	Viśravas	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Вишвачи	viSvAcI	Viśvācī	onomasticon	inm	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Вишвамитра	viSvAmitra	Viśvāmitra	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Вишвавасу	viSvAvasu	Viśvāvasu	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Вишвакарман	viSvakarman	Viśvakarman	onomasticon	inm	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Вибудха	vibuDa	Vibudha	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Видарбха	vidarBa	Vidarbha	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Видеха	videha	Videha	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Виджая	vijaya	Vijaya	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Викрита	vikfta	Vikṛta	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Викукши	vikukzi	Vikukṣi	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Палов	vili	VIlI	iast-witness-only		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Виндхья	vinDya	Vindhya	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Вината	vinatA	Vinatā	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Випаша	vipASA	Vipāśā	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Вирадха	virADa	Virādha	onomasticon	pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Вирочана	virocana	Virocana	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Вивасват	vivasvat	Vivasvat	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Вишну	vizRu	Viṣṇu	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Вишнупада	vizRupada	Viṣṇupada	onomasticon	inm	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Яду	yadu	Yadu	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Яма	yama	Yama	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Ямуна	yamunA	Yamunā	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Яяти	yayAti	Yayāti	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Юдхаджит	yuDAjit	Yudhājit	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Юванашва	yuvanASva	Yuvanāśva	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
