pwkvn_k1	pwkvn_L	pc	tier	mahavy	in_pw	in_pwg	gloss_snippet
AgamasArasaMgraha	2579	2-293-b	absent	N	Y	N	{{Lbody=2579}}
AgamasArasaMgraha	13914	7-316-d	absent	N	Y	N	{#AgamasArasaMgraha#}¦ 2.
AgoraRa	8604	6-297-c	absent	N	Y	N	{#AgoraRa#}¦ n. = {#AguraRa#} Comm. zu ĀPAST. ŚR. 14,23,1.
AgoraRa	13921	7-317-a	absent	N	Y	N	{#AgoraRa#}¦ 6.
AgrAyaRasUtra	2582	2-293-b	absent	N	Y	N	{#AgrAyaRasUtra#}¦ n. Titel eines Werkes OPP. Cat. 1.
AgrAyaRasUtra	13933	7-317-a	absent	N	Y	N	{#AgrAyaRasUtra#}¦ 2.
AgrayaRadevatA	1508	1-296-c	absent	N	Y	N	{#AgrayaRadevatA#}¦ f. {%eine Gottheit des Erstlingsopfers%} ŚĀṄKH. GṚHY. 3,8.
AgrayaRadevatA	13929	7-317-a	absent	N	Y	N	{#AgrayaRadevatA#}¦ 1.
AhAryapurIza	8653	6-298-b	absent	N	Y	N	{#AhAryapurIza#}¦ Adj. (f. {#A#}) {%aus herbeizuschaffendem Schutt bestehend%} ({#vadi#}) ĀPAST. ŚR. 2,3,5.
AhAryapurIza	14493	7-320-d	absent	N	Y	N	{#AhAryapurIza#}¦ 6.
AharaRIya	8652	6-298-b	absent	N	Y	N	{#AharaRIya#}¦ Adj. LA¹. 70,13 fehlerhaft für {#pariharaRIya#}.
AharaRIya	14485	7-320-d	absent	N	Y	N	{#AharaRIya#}¦ 6.
Ahartos	4128	3-256-b	absent	N	Y	N	{#Ahartos#}¦ Abl. Infin. zu {#har#} mit {#A#} AIT. BR. 7,2,6.
Ahartos	14486	7-320-d	absent	N	Y	N	{#Ahartos#}¦ 3.
AhitAgnibrAhmaRa	2667	2-294-b	absent	N	Y	N	{#AhitAgnibrAhmaRa#} n., {#˚gniviDAna#} n. und {#AhnikaBAskara#}¦ Titel von Werken OPP. Cat. 1.
AhitAgnibrAhmaRa	14495	7-320-d	absent	N	Y	N	{#AhitAgnibrAhmaRa#} und {#AhitAgniviDAna#}¦ 2.
AhitAgniviDAna	2667	2-294-b	absent	N	Y	N	{{Lbody=2667}}
AhitAgniviDAna	14495	7-320-d	absent	N	Y	N	{{Lbody=14495}}
AhlAdayitar	2668	2-294-b	absent	N	Y	N	{#AhlAdayitar#}¦ Nom. ag. {%Erquicker%}. Nom. abstr. {#˚tftva#} n. ŚAṂK. zu BĀDAR. 2,3,25. [Page2-294-c] 3. {#i#} mit {#
AhlAdayitar	14503	7-320-d	absent	N	Y	N	{#AhlAdayitar#}¦ 2.
AhnikaBAskara	2667	2-294-b	absent	N	Y	N	{{Lbody=2667}}
AhnikaBAskara	14501	7-320-d	absent	N	Y	N	{#AhnikaBAskara#}¦ 2.
Ahutimant	6829	5-249-c	absent	N	Y	N	{#Ahutimant#}¦ Adj. = {#Ahutivant#} GOBH. 1,7,15.
Ahutimant	14497	7-320-d	absent	N	Y	N	{#Ahutimant#}¦ 5.
AhuvaDyE	4131	3-256-b	absent	N	Y	N	{#Ahuva/DyE#}¦, so zu accentuiren.
AhuvaDyE	14498	7-320-d	absent	N	Y	N	{#Ahuva/DyE#}¦ I. 3.
AhvAtar	6830	5-249-c	absent	N	Y	N	{#AhvAtar#}¦ Nom. ag. {%Herbeirufer%} SĀY. zu ṚV. 1,13,4.
AhvAtar	14505	7-320-d	absent	N	Y	N	{#AhvAtar#}¦ 5.
AjYApanIya	13978	7-317-b	absent	Y	Y	N	{#*AjYApanIya#}¦ Adj. wohl {%zum Befehlen geeignet%} MAHĀVY. 20,27.
AjYAviDAyin	6752	5-248-c	absent	N	Y	N	{#AjYAviDAyin#}¦ Adj. {%Jmds Befehle ausführend, gehorsam%} KATHĀS. 52,336.
AjYAviDAyin	13979	7-317-b	absent	N	Y	N	{#AjYAviDAyin#}¦ 5.
AjYeya	13980	7-317-b	absent	Y	Y	N	{#*AjYeya#}¦ Adj. {%zu erkennen%} MAHĀVY. 20.
AjakarORa	13969	7-317-b	absent	N	Y	Y	{{Lbody=13969}}
AjyAyaMs	2589	2-293-b	absent	N	Y	N	{#A/jyAyaMs#}¦ TBR. 3,7,5,6 fehlerhaft für {#a/jyAyaMs#}.
AjyAyaMs	13986	7-317-b	absent	N	Y	N	{#A/jyAyaMs#}¦ 2.
AkASADikaraRavAda	2568	2-293-b	absent	N	Y	N	{#AkASADikaraRavAda#}¦ m. Titel eines Werkes OPP. Cat. 1.
AkASADikaraRavAda	13860	7-316-c	absent	N	Y	N	{#AkASADikaraRavAda#}¦ 2.
AkASAsaNgavimuktinirupalepa	13861	7-316-c	absent	Y	Y	N	{#*AkASAsaNgavimuktinirupalepa#}¦ m. {%ein best.%} Samādhi MAHĀVY. 21.
AkASaBErava	2566	2-293-b	absent	N	Y	N	{#AkASaBErava#} n. und {#˚kalpa#} m.¦ Titel von Werken OPP. Cat. 1.
AkASaBErava	13856	7-316-c	absent	N	Y	N	{#AkASaBErava#} und {#˚kalpa#}¦ 2.
AkASaBEravakalpa	2566	2-293-b	absent	N	Y	N	{{Lbody=2566}}
AkASaBEravakalpa	13856	7-316-c	absent	N	Y	N	{{Lbody=13856}}
AkASaPena	13855	7-316-c	absent	N	Y	N	{#AkASaPena#}¦ {%eine best. Pflanze%} ANTYEṢṬIK. und ATH. PADDH. zu KAUŚ. 82,26.
AkASarakzitA	2567	2-293-b	absent	N	Y	N	{#AkASarakzitA#}¦ f. N. pr. einer Kiṃnara-Jungfrau KĀRAṆḌ. 6,8.
AkASarakzitA	13858	7-316-c	absent	N	Y	N	{#AkASarakzitA#}¦ 2.
AkASasParaRa	13859	7-316-c	absent	Y	Y	N	{#*AkASasParaRa#}¦ m. {%ein best.%} Samādhi MAHĀVY. 21.
AkArABinirhAra	13849	7-316-c	absent	N	Y	N	{#*AkArABinirhAra#}¦ m. desgl. ebend.
AkArAnapakAra	13848	7-316-c	absent	Y	Y	N	{#*AkArAnapakAra#}¦ m. {%ein best.%} Samādhi MAHĀVY. 21.
AkArakara	2563	2-293-a	absent	N	Y	N	{#AkArakara#}¦ m. {%ein best.%} Samādhi KĀRAṆḌ. 51,9. 92,20.
AkArakara	13847	7-316-c	absent	N	Y	N	{{Lbody=13847}}
AkArolleKin	13850	7-316-c	absent	N	Y	N	{#AkArolleKin#}¦ Adj. {%die Form eines Dinges wiedergebend%} SĀṂKHYAS. 1,89.
AkEwaBavEri	1500	1-296-c	absent	N	Y	N	{#AkEwaBavEri#}¦ Adv. {%bis zum Feinde%} Kaiṭabhaʼs, d. i. {%bis%} Viṣṇu NAIṢ. 6,106.
AkEwaBavEri	13872	7-316-c	absent	N	Y	N	{#AkEwaBavEri#}¦ 1.
