slp1	iast	n_dicts	dicts	gender	fem_fold
gajaprayantf	gajaprayantṛ	1	MW	m	
gajapuNgavaH	gajapuṅgavaḥ	1	AP	-	
gajaraTapura	gajarathapura	1	MW	n	
gajasAhvayaM	gajasāhvayaṃ	1	SKD	-	
gajasAhvayam	gajasāhvayam	1	AP	-	
gajavilasitA	gajavilasitā	1	MW	f	
gajendranATa	gajendranātha	1	MW	m	
gajomAnikula	gajomānikula	1	BHS	mn	
galagrahaRam	galagrahaṇam	1	AP	-	
galakambalaH	galakambalaḥ	1	AP	-	
galakamvalaH	galakamvalaḥ	1	SKD	-	
galavidraDiH	galavidradhiḥ	1	AP	-	
galitakuzWam	galitakuṣṭham	1	AP	-	
galitanayana	galitanayana	2	AP MW	fmn	
galitayOvana	galitayauvana	1	AP	-	
gallaPullana	gallaphullana	1	SCH	-	
galvarkopala	galvarkopala	1	SCH	-	
gamBIraDvani	gambhīradhvani	1	MW	m	
gamBIraSaMsa	gambhīraśaṃsa	6	CAE CCS GRA MW PWG PWK	fmn	
gamBIrabudDi	gambhīrabuddhi	3	BHS MW PWK	m	
gamBIracetas	gambhīracetas	4	GRA MW PWG PWK	fmn	
gamBIrapakza	gambhīrapakṣa	4	BHS MW PWG PWK	m	
gamBIravedin	gambhīravedin	5	AP MW PWG PWK VCP	fmn	
gamBIravepas	gambhīravepas	3	GRA MW PWK	fmn	
gamBIreSvara	gambhīreśvara	1	BHS	-	
gamakAritvaM	gamakāritvaṃ	1	SKD	-	
gamakAritvam	gamakāritvam	1	AP	-	
gamanAgamana	gamanāgamana	1	MW	n	
ganDASuRqinI	gandhāśuṇḍinī	1	PWG	-	
ganDAlIgarBa	gandhālīgarbha	4	MW PWG PWK VCP	m	
ganDaDUmajaH	gandhadhūmajaḥ	1	SKD	-	
ganDaKeqakaM	gandhakheḍakaṃ	1	SKD	-	
ganDaSeKaraH	gandhaśekharaḥ	2	AP SKD	-	
ganDaSuRqinI	gandhaśuṇḍinī	6	AP MW PWG PWK SKD VCP	f	
ganDabahalaH	gandhabahalaḥ	1	SKD	-	
ganDadravyam	gandhadravyam	1	AP	-	
ganDadvirada	gandhadvirada	4	CAE MW PWG PWK	m	
ganDagrAhaka	gandhagrāhaka	2	MW PWK	fmn	
ganDakacUrRa	gandhakacūrṇa	1	VCP	-	
ganDakandaka	gandhakandaka	3	MW PWG PWK	m	
ganDamAdanaH	gandhamādanaḥ	2	AP SKD	-	
ganDamAdanaM	gandhamādanaṃ	1	SKD	-	
ganDamAdanam	gandhamādanam	1	AP	-	
ganDamArjAra	gandhamārjāra	3	MW PWG PWK	m	
ganDamETunaH	gandhamaithunaḥ	2	AP SKD	-	
ganDamUlakaH	gandhamūlakaḥ	1	SKD	-	
ganDamUzikaH	gandhamūṣikaḥ	2	AP SKD	-	
ganDamaYjarI	gandhamañjarī	2	MW PWK	f	
ganDamodanaH	gandhamodanaḥ	2	AP SKD	-	
ganDanakulaH	gandhanakulaḥ	2	AP SKD	-	
ganDapAzARaH	gandhapāṣāṇaḥ	2	AP SKD	-	
ganDapatrikA	gandhapatrikā	2	PWG SKD	f	
ganDapiNgalA	gandhapiṅgalā	3	MW PWG PWK	f	
ganDapraBAsa	gandhaprabhāsa	2	BHS MW	m	
ganDapradIpa	gandhapradīpa	1	BHS	-	
ganDapravAdA	gandhapravādā	2	PWK SCH	f	
ganDarvArAja	gandharvārāja	1	INM	-	
ganDarvAstra	gandharvāstra	1	INM	-	
ganDarvabaDU	gandharvabadhū	1	VCP	-	
ganDarvagIta	gandharvagīta	1	BHS	-	
ganDarvalipi	gandharvalipi	1	BHS	-	
ganDarvaloka	gandharvaloka	6	CAE INM MW PWK SCH VCP	m	
ganDarvapada	gandharvapada	2	MW PWK	n	
ganDarvapati	gandharvapati	1	INM	-	
ganDarvapura	gandharvapura	3	MW PWG PWK	n	
ganDarvarAja	gandharvarāja	6	BHS CAE CCS INM MW PWK	m	
ganDarvatEla	gandharvataila	3	MW PWG PWK	n	
ganDarvaveda	gandharvaveda	4	MW PWG PWK VCP	m	
ganDarvendra	gandharvendra	1	INM	-	
ganDasAraRaH	gandhasāraṇaḥ	1	SKD	-	
ganDasinDura	gandhasindhura	1	PWK	m	
ganDasuganDA	gandhasugandhā	1	BHS	-	
ganDatUryyaM	gandhatūryyaṃ	1	SKD	-	
ganDataRqula	gandhataṇḍula	4	MW PWG PWK VCP	m	
ganDavalkala	gandhavalkala	4	MW PWG PWK VCP	n	
ganDavallarI	gandhavallarī	5	MW PWG PWK SKD VCP	f	
ganDavfkzaka	gandhavṛkṣaka	4	MW PWG PWK VCP	m	
ganDavihvala	gandhavihvala	4	MW PWG PWK VCP	m	
ganDavyAkula	gandhavyākula	4	MW PWG PWK VCP	n	
ganDendriyam	gandhendriyam	1	AP	-	
ganDopajIvin	gandhopajīvin	5	AP MW PWG PWK VCP	m	
ganavinapura	ganavinapura	1	PWK	n	
garBAvezwana	garbhāveṣṭana	2	PWK SCH	n	
garBaBAjanam	garbhabhājanam	1	AP	-	
garBaBarmman	garbhabharmman	1	VCP	-	
garBaBavanam	garbhabhavanam	1	AP	-	
garBaDAraRam	garbhadhāraṇam	1	AP	-	
garBaDvaMsaH	garbhadhvaṃsaḥ	1	AP	-	
garBacalanam	garbhacalanam	1	AP	-	
garBacikitsA	garbhacikitsā	2	PWK SCH	fn	
garBadivasAH	garbhadivasāḥ	1	AP	-	
garBadrAvaRa	garbhadrāvaṇa	3	MW PWG PWK	fn	
garBadvAdaSa	garbhadvādaśa	2	MW PWK	m	
garBagrAhikA	garbhagrāhikā	4	AP MW PWG PWK	f	
garBagrahaRa	garbhagrahaṇa	3	MW PWG PWK	n	
garBalakzaRa	garbhalakṣaṇa	5	AP MW PWG PWK VCP	n	
garBalamBana	garbhalambhana	4	MW PWG PWK VCP	n	
garBamaRqapa	garbhamaṇḍapa	3	MW PWG PWK	m	
garBamocanam	garbhamocanam	1	AP	-	
garBanizkfti	garbhaniṣkṛti	2	MW PWK	f	
garBapAtakaH	garbhapātakaḥ	1	SKD	-	
garBapAtanaH	garbhapātanaḥ	1	SKD	-	
garBapozaRam	garbhapoṣaṇam	1	AP	n	
garBaprasava	garbhaprasava	1	VCP	-	
garBarUpakaH	garbharūpakaḥ	1	AP	-	
garBarakzaRa	garbharakṣaṇa	3	MW PWG PWK	n	
garBasOBAgya	garbhasaubhāgya	1	PWK	n	
garBasaMBUti	garbhasaṃbhūti	2	PWG PWK	f	
garBasaMBavA	garbhasaṃbhavā	2	AP PWK	f	
garBasaMBava	garbhasaṃbhava	2	PWG PWK	m	
garBasamBUti	garbhasambhūti	1	MW	f	
garBasamBavA	garbhasambhavā	1	MW	f	
garBasamBava	garbhasambhava	1	MW	m	
garBavartman	garbhavartman	2	MW PWK	n	
garBavasatiH	garbhavasatiḥ	1	AP	f	
garBavezwana	garbhaveṣṭana	1	SCH	-	
garBavicyuti	garbhavicyuti	3	MW PWG PWK	f	
garBavipatti	garbhavipatti	3	MW PWG PWK	f	
garBeSvaratA	garbheśvaratā	1	MW	f	
garBikAvarja	garbhikāvarja	1	AP	-	
garBopaGAtaH	garbhopaghātaḥ	1	AP	-	
garBopanizad	garbhopaniṣad	4	MW PWG PWK VCP	f	
garBotpattiH	garbhotpattiḥ	1	AP	f	
gardaBARqIya	gardabhāṇḍīya	3	MW PWG PWK	fmn	
gardaBARqaka	gardabhāṇḍaka	3	MW PWG PWK	m	
gardaBAhvaya	gardabhāhvaya	2	PWG VCP	n	
gardaBIvidyA	gardabhīvidyā	2	MW PWK	f	
gardaBadanta	gardabhadanta	1	SCH	-	
gardaBagadaH	gardabhagadaḥ	1	AP	-	
gardaBakzIra	gardabhakṣīra	1	MW	n	
gardaBanAdin	gardabhanādin	3	MW PWG PWK	fmn	
gardaBapuzpa	gardabhapuṣpa	3	MW PWG PWK	m	
gardaBavallI	gardabhavallī	2	MW PWK	fm	
garddaBARqaH	garddabhāṇḍaḥ	1	SKD	-	
garddaBaSAKI	garddabhaśākhī	1	SKD	-	
garddaBaSAkA	garddabhaśākā	1	SKD	-	
garddaBagada	garddabhagada	1	VCP	-	
garddaBayAga	garddabhayāga	1	VCP	-	
gargasaMhitA	gargasaṃhitā	4	AP MW PWK VCP	f	
gartAkukkuwa	gartākukkuṭa	2	MW PWK	m	
garuqANkitaM	garuḍāṅkitaṃ	1	SKD	-	
garuqANkitam	garuḍāṅkitam	1	AP	m	
garuqAgrajaH	garuḍāgrajaḥ	2	AP SKD	-	
garuqaDvajaH	garuḍadhvajaḥ	2	AP SKD	-	
garuqamantra	garuḍamantra	1	VCP	-	
garuqapurARa	garuḍapurāṇa	4	MW PWG PWK VCP	n	
garuqavyUhaH	garuḍavyūhaḥ	1	AP	-	
garuqodgIrRa	garuḍodgīrṇa	2	MW PWK	m	
garuqottIrRa	garuḍottīrṇa	3	MW PWG PWK	mn	
gatAnugatika	gatānugatika	6	AP CAE CCS MW PWG PWK	fmn	
gataBarttfkA	gatabharttṛkā	1	VCP	-	
gatajalIyati	gatajalīyati	1	SCH	-	
gatalakzmIka	gatalakṣmīka	4	AP MW PWK SCH	fmn	
gatasaMkalpa	gatasaṃkalpa	1	MW	fmn	
gatasannakaH	gatasannakaḥ	2	AP SKD	-	
gatyanusaraH	gatyanusaraḥ	1	AP	-	
gayAmAhAtmya	gayāmāhātmya	2	MW PWK	n	
gehapArAvata	gehapārāvata	2	CAE MW	m	
gfDrajamBUka	gṛdhrajambhūka	1	PWK	m	
gfDrajambUka	gṛdhrajambūka	3	MW PWG PWK	m	
gfDraputrikA	gṛdhraputrikā	2	MW PWK	f	
gfhASramavat	gṛhāśramavat	1	MW	m	
gfhAvagfhaRI	gṛhāvagṛhaṇī	1	PWK	f	
gfhItaDanvan	gṛhītadhanvan	3	CAE CCS MW	-	
gfhItahfdaya	gṛhītahṛdaya	1	MW	fmn	
gfhItapATeya	gṛhītapātheya	3	CAE CCS MW	fmn	
gfhItavetana	gṛhītavetana	2	AP MW	fmn	
gfhaBaYjanam	gṛhabhañjanam	1	AP	-	
gfhaBadrakam	gṛhabhadrakam	1	AP	-	
gfhaSiKaRqin	gṛhaśikhaṇḍin	3	CAE MW PWK	m	
gfhakacCapaH	gṛhakacchapaḥ	2	AP SKD	-	
gfhakapotaka	gṛhakapotaka	3	CAE MW PWK	m	
gfhakukkuwaH	gṛhakukkuṭaḥ	1	AP	-	
gfhapraveSaH	gṛhapraveśaḥ	1	AP	-	
gfhasTASrama	gṛhasthāśrama	3	MW PWK VCP	m	
gfhasTaDarma	gṛhasthadharma	2	MW VCP	m	
gfhopakaraRa	gṛhopakaraṇa	2	MW PWK	n	
gfhyapadDati	gṛhyapaddhati	2	MW PWK	f	
giriRitambaH	giriṇitambaḥ	1	AP	-	
giribAnDavaH	giribāndhavaḥ	1	AP	-	
girijAkumAra	girijākumāra	3	MW PWG PWK	m	
girijAtanaya	girijātanaya	1	VCP	-	
girikaRwakaH	girikaṇṭakaḥ	2	AP SKD	-	
girikacCapaH	girikacchapaḥ	1	AP	-	
girikadambaH	girikadambaḥ	1	SKD	-	
girikandaraH	girikandaraḥ	1	AP	-	
girikarRRikA	girikarṇṇikā	1	VCP	-	
girilakzmaRa	girilakṣmaṇa	1	MW	m	
girimfdBavaM	girimṛdbhavaṃ	1	SKD	-	
girinandanaH	girinandanaḥ	1	AP	-	
girinitambaH	girinitambaḥ	1	AP	-	
giriprapAtaH	giriprapātaḥ	1	AP	-	
giripuzpakaM	giripuṣpakaṃ	1	SKD	-	
giripuzpakam	giripuṣpakam	1	AP	-	
girirAjaGoza	girirājaghoṣa	2	BHS MW	m	
girisAramaya	girisāramaya	3	MW PWG PWK	f	
glAvamEtreya	glāvamaitreya	1	VEI	-	
goDUmacUrRaM	godhūmacūrṇaṃ	1	SKD	-	
goDikAtmajaH	godhikātmajaḥ	1	SKD	-	
goSabdAtmaja	gośabdātmaja	1	INM	-	
gobIjakAnana	gobījakānana	1	CAE	n	
gocarmamAtra	gocarmamātra	1	MW	fmn	
godApariRaya	godāpariṇaya	2	PWK SCH	fmn	
gograhatIrTa	gograhatīrtha	3	MW PWG PWK	n	
gokarRaliNga	gokarṇaliṅga	3	MW PWG PWK	n	
gokarReSvara	gokarṇeśvara	3	MW PWG PWK	m	
gokzuradugDA	gokṣuradugdhā	3	MW PWG PWK	f	
golAmamAmuda	golāmamāmuda	3	MW PWG PWK	m	
gomUtraganDi	gomūtragandhi	1	SCH	-	
gomaDyamaDya	gomadhyamadhya	2	AP MW	fmn	
gomayacCanna	gomayacchanna	1	SCH	-	
gomayacCatra	gomayacchatra	2	PWG VCP	fn	
gomayapriyaM	gomayapriyaṃ	1	SKD	-	
gomayapriyam	gomayapriyam	1	AP	-	
gomayodBavaH	gomayodbhavaḥ	1	SKD	-	
gomuKavyAGra	gomukhavyāghra	1	MW	m	
gonizkramaRa	goniṣkramaṇa	3	MW PWG PWK	n	
gopAladAraka	gopāladāraka	2	CAE MW	m	
gopAlakeSava	gopālakeśava	3	MW PWG PWK	m	
gopAlatApinI	gopālatāpinī	2	MW PWK	f	
gopAlavarman	gopālavarman	3	MW PWG PWK	m	
gopadmavrata	gopadmavrata	2	PWK SCH	-	
goparicaryyA	goparicaryyā	1	VCP	-	
gopekzanetra	gopekṣanetra	1	BHS	-	
goradarSanaH	goradarśanaḥ	1	AP	-	
gorakzadugDA	gorakṣadugdhā	5	MW PWG PWK SKD VCP	f	
gorakzajambU	gorakṣajambū	4	MW PWG PWK VCP	fm	
gorakzakalpa	gorakṣakalpa	2	MW PWK	m	
gorakzatumbI	gorakṣatumbī	5	MW PWG PWK SKD VCP	f	
gosampradAya	gosampradāya	1	VCP	-	
gosvAmisTAna	gosvāmisthāna	3	MW PWG PWK	n	
gotamAnvayaH	gotamānvayaḥ	1	SKD	-	
gotamIputraH	gotamīputraḥ	1	AP	-	
gotamasvAmin	gotamasvāmin	3	MW PWG PWK	m	
gotrABiDAyam	gotrābhidhāyam	2	MW PWK	-	
gotrAkalatra	gotrākalatra	1	SCH	-	
gotrAntarIya	gotrāntarīya	1	BHS	-	
gotrapravara	gotrapravara	1	PWG	mn	
gotrasKalana	gotraskhalana	2	SCH VCP	-	
gotrasKalita	gotraskhalita	1	SCH	-	
gotravarDana	gotravardhana	3	MW PWG PWK	m	
govAsadAsana	govāsadāsana	1	VCP	-	
govfndArakaH	govṛndārakaḥ	2	AP SKD	-	
govindAnanda	govindānanda	3	MW PWG PWK	m	
govindArRava	govindārṇava	3	MW PWG PWK	m	
govindAzwaka	govindāṣṭaka	3	MW PWG PWK	n	
govindaBawwa	govindabhaṭṭa	3	MW PWG PWK	m	
govindacanda	govindacanda	3	MW PWG PWK	m	
govindadatta	govindadatta	3	MW PWG PWK	m	
govindasUtra	govindasūtra	1	BHS	n	
govindasiMha	govindasiṃha	3	MW PWG PWK	m	
gozWakukkuwa	goṣṭhakukkuṭa	2	MW PWK	m	
gozWekzveqin	goṣṭhekṣveḍin	4	MW PWG PWK VCP	fmn	
gozWepaRqita	goṣṭhepaṇḍita	3	MW PWG PWK	fmn	
gozWevijitin	goṣṭhevijitin	3	MW PWG PWK	fmn	
gozWikakarma	goṣṭhikakarma	1	SCH	-	
gozWodumbara	goṣṭhodumbara	3	MW PWK SCH	m	
gozpadamAtra	goṣpadamātra	1	MW	fmn	
gozpadapUram	goṣpadapūram	3	MW PWK SCH	-	
grAhayitavya	grāhayitavya	4	MD MW PWK SCH	fmn	
grAmADikftaH	grāmādhikṛtaḥ	1	AP	-	
grAmADipatiH	grāmādhipatiḥ	1	AP	-	
grAmADyakzaH	grāmādhyakṣaḥ	1	AP	-	
grAmADyayana	grāmādhyayana	2	MW PWK	n	
grAmaKaRqaka	grāmakhaṇḍaka	1	PWK	n	
grAmaRIputra	grāmaṇīputra	1	MW	m	
grAmagfhyaka	grāmagṛhyaka	2	MW PWK	m	
grAmagoduhaH	grāmagoduhaḥ	1	AP	-	
grAmahAsakaH	grāmahāsakaḥ	2	AP SKD	-	
grAmakAyasTa	grāmakāyastha	1	AP	-	
grAmakaRwaka	grāmakaṇṭaka	4	MW PWG PWK SCH	m	
grAmakukkuwa	grāmakukkuṭa	5	CAE MW PWG PWK VCP	m	
grAmakumAraH	grāmakumāraḥ	1	AP	-	
grAmaluRWaka	grāmaluṇṭhaka	1	MW	m	
grAmaluRWana	grāmaluṇṭhana	1	MW	n	
grAmamaryAdA	grāmamaryādā	1	MW	f	
grAmanivAsin	grāmanivāsin	3	MW PWG PWK	fmn	
grAmaprezyaH	grāmapreṣyaḥ	1	AP	-	
grAmapuruzaH	grāmapuruṣaḥ	1	AP	-	
grAmaputraka	grāmaputraka	1	PWK	n	
grAmaputrikA	grāmaputrikā	1	MW	f	
grAmasImanta	grāmasīmanta	1	MW	-	
grAmasaMkara	grāmasaṃkara	3	MW PWG PWK	m	
grAmaviSezaH	grāmaviśeṣaḥ	1	AP	-	
grAmayAjakaH	grāmayājakaḥ	2	AP SKD	m	
grAmazaRqaka	grāmaṣaṇḍaka	1	PWK	n	
grAmazaRqikA	grāmaṣaṇḍikā	1	MW	f	
grAmopADyAya	grāmopādhyāya	1	MW	m	
grAmyaDAnyam	grāmyadhānyam	1	AP	-	
grAmyaDarmaH	grāmyadharmaḥ	1	AP	-	
grAmyaDarmin	grāmyadharmin	3	MW PWG PWK	fmn	
grAmyaDarmma	grāmyadharmma	1	VCP	-	
grAmyaSUkara	grāmyaśūkara	1	VCP	-	
grAmyakandaH	grāmyakandaḥ	1	SKD	-	
grAmyakarman	grāmyakarman	4	AP MW PWG PWK	n	
grAmyasUkara	grāmyasūkara	2	MW PWK	m	
grAmyavArttA	grāmyavārttā	1	MW	f	
grAsAcCAdana	grāsācchādana	4	CAE CCS MW PWK	n	
grAsapAtrIkf	grāsapātrīkṛ	1	MW	-	
grAsapramARa	grāsapramāṇa	3	MW PWG PWK	n	
grEveyakarma	graiveyakarma	1	SCH	-	
grIvAgrahana	grīvāgrahana	1	SCH	-	
grIzmARamAse	grīṣmāṇamāse	1	BHS	n	
grIzmakAlIna	grīṣmakālīna	1	AP	-	
grIzmamayUrI	grīṣmamayūrī	1	CAE	f	
grIzmasamaya	grīṣmasamaya	4	CAE CCS MW PWK	m	
grahAgresara	grahāgresara	2	MW PWK	m	
grahAluYcana	grahāluñcana	1	MW	n	
grahaBItijit	grahabhītijit	5	MW PWG PWK SKD VCP	m	
grahaBojanaH	grahabhojanaḥ	1	AP	-	
grahaRAntika	grahaṇāntika	3	CAE MW PWK	fmn	
grahaRIharaM	grahaṇīharaṃ	1	SKD	-	
grahaRIrogin	grahaṇīrogin	2	MW PWK	fmn	
grahaRIyatva	grahaṇīyatva	1	MW	n	
grahaRiharam	grahaṇiharam	1	AP	-	
grahacintaka	grahacintaka	4	MW PWG PWK VCP	m	
grahadakziRA	grahadakṣiṇā	1	VCP	-	
grahagaRitam	grahagaṇitam	1	AP	-	
grahagalatva	grahagalatva	1	PWG	n	
grahagrAmaRI	grahagrāmaṇī	4	AP MW PWK SCH	m	
grahakallAla	grahakallāla	1	VCP	-	
grahakallola	grahakallola	4	MW PWG PWK SCH	m	
grahakozWaka	grahakoṣṭhaka	2	MW PWK	n	
grahakzetrin	grahakṣetrin	2	MW PWK	-	
grahalAGavam	grahalāghavam	1	AP	-	
grahamaRqalI	grahamaṇḍalī	1	AP	-	
grahamaRqala	grahamaṇḍala	1	VCP	-	
grahamardana	grahamardana	3	MW PWG PWK	n	
grahanASanaH	grahanāśanaḥ	1	SKD	-	
grahanAyakaH	grahanāyakaḥ	2	AP SKD	-	
grahanigrahO	grahanigrahau	1	AP	-	
grahanigraha	grahanigraha	1	MW	-	
grahapIqanam	grahapīḍanam	1	AP	-	
grahavicArin	grahavicārin	3	MW PWG PWK	m	
grahavimarda	grahavimarda	3	MW PWG PWK	m	
grahayudDaBa	grahayuddhabha	1	VCP	-	
granTaDAraRI	granthadhāraṇī	1	BHS	-	
granTakaraRa	granthakaraṇa	2	MW PWG	n	
granTakartar	granthakartar	2	PWG PWK	m	
granTakarttA	granthakarttā	1	SKD	-	
granTasaMDiH	granthasaṃdhiḥ	1	AP	-	
granTiBedaka	granthibhedaka	1	MW	m	
granTiSamana	granthiśamana	1	MD	n	
granTibanDam	granthibandham	2	MW PWK	-	
granTibarhin	granthibarhin	4	MW PWG PWK VCP	m	
granTidUrvvA	granthidūrvvā	1	SKD	-	
granTimocaka	granthimocaka	4	BHS MW PWK SCH	m	
granTiparRaH	granthiparṇaḥ	2	AP SKD	-	
granTiparRaM	granthiparṇaṃ	1	SKD	-	
granTiparRam	granthiparṇam	1	AP	-	
granTipattra	granthipattra	1	MW	m	
granTivarhin	granthivarhin	1	VCP	-	
guRAgraDArin	guṇāgradhārin	2	BHS MW	m	
guRAkarasUri	guṇākarasūri	2	MW PWK	m	
guRaSiromaRi	guṇaśiromaṇi	2	PWG PWK	m	
guRaSrIgarBa	guṇaśrīgarbha	1	BHS	-	
guRacandrikA	guṇacandrikā	1	PWK	f	
guRagaRavant	guṇagaṇavant	2	PWK SCH	-	
guRaganDavat	guṇagandhavat	1	MW	fmn	
guRagrahItar	guṇagrahītar	2	PWK SCH	-	
guRagrahaRam	guṇagrahaṇam	1	AP	-	
guRaguRArAva	guṇaguṇārāva	1	PWK	m	
guRakIrtanam	guṇakīrtanam	1	AP	f	
guRalakzaRam	guṇalakṣaṇam	1	AP	-	
guRalayanikA	guṇalayanikā	5	AP MW PWG PWK SKD	f	
guRaprakarza	guṇaprakarṣa	1	MW	m	
guRapravfdDa	guṇapravṛddha	1	VCP	-	
guRasaMKyAna	guṇasaṃkhyāna	2	MW VCP	n	
guRasaMgraha	guṇasaṃgraha	1	MW	m	
guRasaMpanna	guṇasaṃpanna	3	AP CAE PWK	-	
guRasaMskAra	guṇasaṃskāra	2	MW PWK	m	
guRasaMyukta	guṇasaṃyukta	4	CAE CCS MW PWK	fmn	
guRasampanna	guṇasampanna	1	MW	fmn	
guRatritayam	guṇatritayam	1	AP	-	
guRavESezyam	guṇavaiśeṣyam	1	AP	-	
guRavEcitrya	guṇavaicitrya	1	MW	n	
guRavadvapus	guṇavadvapus	1	MW	fmn	
guRavfkzakaH	guṇavṛkṣakaḥ	2	AP SKD	-	
guRavivecanA	guṇavivecanā	2	AP MW	f	
guRavivecana	guṇavivecana	1	MW	fmn	
guRisarvasva	guṇisarvasva	3	MW PWG PWK	n	
guRotkIrtana	guṇotkīrtana	2	MW PWK	n	
gucCadantikA	gucchadantikā	5	MW PWG PWK SKD VCP	f	
gucCakaRiSaH	gucchakaṇiśaḥ	2	AP SKD	-	
gucCakaraYja	gucchakarañja	4	MW PWG PWK VCP	m	
gucCapuzpaka	gucchapuṣpaka	3	MW PWG PWK	m	
gudanirgamaH	gudanirgamaḥ	1	AP	-	
gugguluganDi	guggulugandhi	1	VCP	-	
guhyaBAzitaM	guhyabhāṣitaṃ	1	SKD	-	
guhyaBAzitam	guhyabhāṣitam	1	AP	-	
guhyadIpakaH	guhyadīpakaḥ	2	AP SKD	-	
guhyakeSvara	guhyakeśvara	4	MW PWK SCH VCP	m	
gulPadvayasa	gulphadvayasa	2	MW PWK	fmn	
gulPavalayam	gulphavalayam	1	AP	n	
gulaYcakanda	gulañcakanda	4	MW PWG PWK VCP	m	
gulucCakanda	gulucchakanda	2	MW PWK	m	
gulugulAyati	gulugulāyati	1	BHS	-	
guluguluyati	guluguluyati	1	BHS	-	
gumagumAyita	gumagumāyita	4	MD MW PWK SCH	n	
guptaprayAga	guptaprayāga	3	MW PWG PWK	m	
guptyaDikfta	guptyadhikṛta	2	MW PWK	m	
guqaharItakI	guḍaharītakī	3	AP MW PWK	f	
guquguqAyana	guḍuguḍāyana	4	MW PWG PWK VCP	n	
guquguqAyate	guḍuguḍāyate	1	BHS	-	
guruSokAnala	guruśokānala	1	MW	m	
guruSuSrUzin	guruśuśrūṣin	1	MW	fmn	
gurucandrikA	gurucandrikā	2	PWK SCH	fm	
gurukulavAsa	gurukulavāsa	1	MW	m	
gurumardalaH	gurumardalaḥ	1	AP	-	
guruparipAwI	guruparipāṭī	3	MW PWG PWK	f	
gurupattraka	gurupattraka	2	MW PWK	n	
guruprasAdaH	guruprasādaḥ	1	AP	-	
gurusamavAya	gurusamavāya	2	MW PWK	m	
gurutalpagaH	gurutalpagaḥ	2	AP SKD	m	
guruvadvftti	guruvadvṛtti	1	MW	f	
guruvarcoGna	guruvarcoghna	3	MW PWG PWK	m	
guruvartitva	guruvartitva	1	PWK	-	
gusAyinfpati	gusāyinṛpati	2	PWG PWK	m	
gutsadantikA	gutsadantikā	1	VCP	-	
gutsakapuzpa	gutsakapuṣpa	3	MW PWG PWK	m	
gutsakaraYja	gutsakarañja	1	VCP	-	
guwikAYjanam	guṭikāñjanam	1	AP	-	
hAkazwaSabda	hākaṣṭaśabda	1	MW	m	
hAlAhalaDara	hālāhaladhara	3	MW PWG PWK	m	
hAlAsyAzwaka	hālāsyāṣṭaka	1	MW	n	
hAlAsyaKaRqa	hālāsyakhaṇḍa	1	MW	mn	
hAralatAPala	hāralatāphala	1	SCH	-	
hAridramehin	hāridramehin	2	MW PWK	-	
hAstikabanDa	hāstikabandha	1	SCH	-	
hAstikarzUka	hāstikarṣūka	3	MW PWG PWK	f	
hAstinapuraM	hāstinapuraṃ	1	SKD	-	
hAsyadidfkzu	hāsyadidṛkṣu	1	MW	fmn	
hAsyarasavat	hāsyarasavat	1	MW	fmn	
hAviryajYika	hāviryajñika	3	MW PWG PWK	fmn	
hAviryajYiya	hāviryajñiya	3	MW PWG PWK	fmn	
hAwakahAqikA	hāṭakahāḍikā	1	AP	-	
hAwakeSvaraH	hāṭakeśvaraḥ	2	AP SKD	-	
hAyanagranTa	hāyanagrantha	1	MW	m	
hEhayADipati	haihayādhipati	1	INM	-	
hEhayaSrezWa	haihayaśreṣṭha	1	INM	-	
hEmamudrikaH	haimamudrikaḥ	1	SKD	-	
hEraRyagarBa	hairaṇyagarbha	6	CAE INM MD MW PWG PWK	fmn	
hEraRyastUpa	hairaṇyastūpa	3	MW PWG PWK	fm	
hEraRyavAsas	hairaṇyavāsas	4	AP MW PWG PWK	fmn	
hEyaMgavInam	haiyaṃgavīnam	1	AP	-	
hEyaNgavInaM	haiyaṅgavīnaṃ	1	SKD	-	
hInapratijYa	hīnapratijña	3	AP MW PWK	fmn	
hInasAmantaH	hīnasāmantaḥ	1	AP	-	
hInavIryatva	hīnavīryatva	1	MW	n	
hInavyaYjana	hīnavyañjana	1	MW	fmn	
hOtramaYjarI	hautramañjarī	1	MW	f	
hOtraprayoga	hautraprayoga	1	MW	m	
hUNgarasTAna	hūṅgarasthāna	1	PWG	n	
haMsacCatram	haṃsacchatram	1	AP	-	
haMsacCattra	haṃsacchattra	1	MW	n	
haMsadAhanaM	haṃsadāhanaṃ	1	SKD	-	
haMsadAhanam	haṃsadāhanam	1	AP	-	
haMsagadgadA	haṃsagadgadā	5	AP MW PWG SKD VCP	f	
haMsagadradA	haṃsagadradā	1	PWK	f	
haMsakIlakaH	haṃsakīlakaḥ	2	AP SKD	-	
haMsalakzaRa	haṃsalakṣaṇa	1	BHS	mn	
haMsalohakaM	haṃsalohakaṃ	1	SKD	-	
haMsalohakam	haṃsalohakam	1	AP	-	
haMsalomaSaM	haṃsalomaśaṃ	1	SKD	-	
haMsalomaSam	haṃsalomaśam	1	AP	-	
haMsanIlakaH	haṃsanīlakaḥ	1	AP	-	
haMsapowwalI	haṃsapoṭṭalī	2	MW PWK	f	
haMsapraboDA	haṃsaprabodhā	2	MW PWK	f	
haMsasaMdeSa	haṃsasaṃdeśa	2	MW PWK	m	
haMsavAhanaH	haṃsavāhanaḥ	2	AP SKD	-	
