folder	basename	text_formats	media_formats	topic_tags	text_bytes_total
текст-канал-Алексей-Головастиков	Зализняк.-История-русского-ударения.-06.05.2017.-Семинар-26	ans,html,json,srt,txt	(none-in-same-folder)	russian_diachrony	1090522
текст-канал-Алексей-Головастиков	Зализняк.-История-русского-ударения.-10.12.2016-Семинар-14	ans,html,json,srt,txt	(none-in-same-folder)	russian_diachrony	1093464
текст-канал-Алексей-Головастиков	Зализняк.-История-русского-ударения.-11.02.2017-Семинар-16	ans,html,json,srt,txt	(none-in-same-folder)	russian_diachrony	611834
текст-канал-Алексей-Головастиков	Зализняк.-История-русского-ударения.-11.03.2017-Семинар-20	ans,html,json,srt,txt	(none-in-same-folder)	russian_diachrony	1043390
текст-канал-Алексей-Головастиков	Зализняк.-История-русского-ударения.-13.05.2017.-Семинар-25	ans,html,json,srt,txt	(none-in-same-folder)	russian_diachrony	432826
текст-канал-Алексей-Головастиков	Зализняк.-История-русского-ударения.-13.05.2017.-Семинар-27	ans,html,json,srt,txt	(none-in-same-folder)	russian_diachrony	594729
текст-канал-Алексей-Головастиков	Зализняк.-История-русского-ударения.-15.10.2016.-Семинар-6	ans,html,json,srt,txt	(none-in-same-folder)	russian_diachrony	568235
текст-канал-Алексей-Головастиков	Зализняк.-История-русского-ударения.-16-10-22-семинар-07	ans,html,json,srt,txt	(none-in-same-folder)	russian_diachrony	664175
текст-канал-Алексей-Головастиков	Зализняк.-История-русского-ударения.-17.12.2016-Семирар-15	ans,html,json,srt,txt	(none-in-same-folder)	russian_diachrony	758821
текст-канал-Алексей-Головастиков	Зализняк.-История-русского-ударения.-18.02.2017-Семинар-17	ans,html,json,srt,txt	(none-in-same-folder)	russian_diachrony	705944
текст-канал-Алексей-Головастиков	Зализняк.-История-русского-ударения.-19.11.2016	ans,html,json,srt,txt	(none-in-same-folder)	russian_diachrony	593096
текст-канал-Алексей-Головастиков	Зализняк.-История-русского-ударения.-19.11.2016.-Семинар-11	ans,html,json,srt,txt	(none-in-same-folder)	russian_diachrony	578217
текст-канал-Алексей-Головастиков	Зализняк.-История-русского-ударения.-20.05.2017.-Семинар-28	ans,html,json,srt,txt	(none-in-same-folder)	russian_diachrony	666242
