root_slp1	hw_dev	in_verbs01	hindi_gloss
avarIkf	अवरीकृ	N	निकट लाना
avasPUrj	अवस्फूर्ज्	N	खुर्राटें भरना, ’घुर्राटा’ करना
avataMsayati	अवतंसयति	N	कर्णाभूषण के रुप में प्रयुक्त करना, कानों की बालियाँ बनाना
avatf	अवतृ	N	पार करना
avrata	अव्रत	N	जो धार्मिक संस्कार तथा अन्य धर्मानुष्ठान का पालन न करता हो
aw	अट्	Y	इधर उधर घूमना, स्वभावतः इधर उधर घूमना जैसे कि कोई साधू संत घूमता है
aww	अट्ट्	Y	वध करना
ay	अय्	N	जाना
bAD	बाध्	Y	तंग करना, उत्पीडित करना, सताना, अत्याचार करना, छेड़ना, कष्ट देना, दुःखी करना, परे
bAq	बाड्	Y	स्नान करना
bAzpAya	बाष्पाय	N	आँसू बहाना, रोना
bIjAkf	बीजाकृ	N	बीज बोना
baBO	बभौ	N	चमका
baD	बध्	N	घिन करना, घृणा करना, अरुचि रखना, संकोच करना, झिझका, ऊबना
baDiraya	बधिरय	N	बहरा बनाना
baMh	बंह्	Y	बढ़ना, उगना
bahirgam	बहिर्गम्	N	बाहर जाना, चले जाना
bahiri	बहिरि	N	बाहर जाना, चले जाना
bahiryA	बहिर्या	N	बाहर जाना, चले जाना
bahizkf	बहिष्कृ	N	बाहर की ओर रखना, से निकालना, हाँक कर बाहर कर देना
bahu man	बहु मन्	N	बहुत मानना, बड़ा समझना, बहुत मूल्य आंकना, वरेण्य समझना, पूज्य मानना
bahulIBU	बहुलीभू	N	फैलाना, विस्तृत करना, गुणा करना
bahulIkf	बहुलीकृ	N	प्रकाशित करना, खोलना, भंडाफोड़ करना
bahuman	बहुमन्	N	बहुत सोचना, बहुत मानना, ऊँचा मूल्य लगाना, बहुमूल्य मानना,  कद्र करना
bal	बल्	Y	सांस लेना, जीना
bamb	बम्ब्	Y	जाना, चलना-फिरना
banD	बन्ध्	Y	बांधना, कसना, जकड़ना
banDUkf	बन्धूकृ	N	मित्र बनाना
barh	बर्ह्	Y	बोलना
barv	बर्व्	N	जाना, चलना-फिरना
beh	बेह्	N	उद्योग करना, चेष्टा करना, प्रयत्न करना
bfMh	बृंह्	N	बढ़ना, उगना
bfh	बृह्	N	उगना, बढ़ना, फैलाना
bid	बिद्	Y	खण्ड खण्ड करना
