key1_slp1	key2_accented	iast	form_key	case_class	L	pc	source_xml	in_master
vekawa	vekat2a	vekaṭa	vekaṭa	fiction	24406	336-3	SCH-fiction-3147_cases.xml	1
vetradaRqika	vetradan2d2ika	vetradaṇḍika	vetradanḍika	fiction	24425	336-3	SCH-fiction-3147_cases.xml	1
vedaRqa	vedan2d2a	vedaṇḍa	vedanḍa	fiction	24431	337-1	SCH-fiction-3147_cases.xml	1
vellahala	vellahala	vellahala	vellahala	fiction	24450	337-1	SCH-fiction-3147_cases.xml	1
vellita	vellita	vellita	vellita	fiction	24452	337-1	SCH-fiction-3147_cases.xml	1
vezwita	ves2t2ita	veṣṭita	veṣṭita	fiction	24465	337-2	SCH-fiction-3147_cases.xml	1
vEjYAnika	vaijn5a1nika	vaijñānika	vaijnānika	fiction	24481	337-3	SCH-fiction-3147_cases.xml	1
vERava	vain2ava	vaiṇava	vainava	fiction	24482	337-3	SCH-fiction-3147_cases.xml	1
vEtaMsika	vaitam2sika	vaitaṃsika	vaitansika	fiction	24484	337-3	SCH-fiction-3147_cases.xml	1
vEtanika	vaitanika	vaitanika	vaitanika	fiction	24487	337-3	SCH-fiction-3147_cases.xml	1
vEnayika	vainayika	vainayika	vainayika	fiction	24502	337-3	SCH-fiction-3147_cases.xml	1
vEBUtika	vaibhu1tika	vaibhūtika	vaibhūtika	fiction	24508	338-1	SCH-fiction-3147_cases.xml	1
vEsAriRa	vaisa1rin2a	vaisāriṇa	vaisārina	fiction	24532	338-2	SCH-fiction-3147_cases.xml	1
vEhAsika	vaiha1sika	vaihāsika	vaihāsika	fiction	24535	338-2	SCH-fiction-3147_cases.xml	1
vyaYjana	vyan5jana	vyañjana	vyanjana	fiction	24548	338-2	SCH-fiction-3147_cases.xml	1
vyantI	vyanti1	vyantī	vyantī	fiction	24565	338-3	SCH-fiction-3147_cases.xml	0
vyarpaRA	vyarpan2a1	vyarpaṇā	vyarpanā	fiction	24572	338-3	SCH-fiction-3147_cases.xml	1
vyavacArayitavya	vyavaca1rayitavya	vyavacārayitavya	vyavacārayitavya	fiction	24575	338-3	SCH-fiction-3147_cases.xml	1
vyavasarga	vyavasarga	vyavasarga	vyavasarga	fiction	24580	339-1	SCH-fiction-3147_cases.xml	1
vyastikA	vyastika1	vyastikā	vyastikā	fiction	24593	339-1	SCH-fiction-3147_cases.xml	1
vyAGranaKa	vya1ghranakha	vyāghranakha	vyāghranakha	fiction	24603	339-1	SCH-fiction-3147_cases.xml	1
